@relation data/M_multi_metrics_PDE.csv-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R41-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R47-weka.filters.unsupervised.attribute.Remove-R47-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R39-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.Remove-R51-weka.filters.unsupervised.attribute.Remove-R50-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R31-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R21-weka.filters.unsupervised.attribute.Remove-R29-weka.filters.unsupervised.attribute.Remove-R32-weka.filters.unsupervised.attribute.Remove-R22-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R18-weka.filters.unsupervised.attribute.Remove-R37-weka.filters.unsupervised.attribute.Remove-R37-weka.filters.unsupervised.attribute.Remove-R3

@attribute ck_oo_numberOfPrivateMethods numeric
@attribute LDHH_fanIn numeric
@attribute CvsWEntropy numeric
@attribute LDHH_numberOfPublicMethods numeric
@attribute LDHH_numberOfPrivateAttributes numeric
@attribute CvsEntropy numeric
@attribute LDHH_numberOfPublicAttributes numeric
@attribute WCHU_numberOfPrivateMethods numeric
@attribute ck_oo_noc numeric
@attribute numberOfCriticalBugsFoundUntil: numeric
@attribute ck_oo_wmc numeric
@attribute LDHH_numberOfPrivateMethods numeric
@attribute WCHU_numberOfPrivateAttributes numeric
@attribute CvsLogEntropy numeric
@attribute WCHU_noc numeric
@attribute LDHH_numberOfAttributesInherited numeric
@attribute ck_oo_fanOut numeric
@attribute ck_oo_numberOfAttributesInherited numeric
@attribute ck_oo_dit numeric
@attribute ck_oo_fanIn numeric
@attribute LDHH_noc numeric
@attribute WCHU_dit numeric
@attribute ck_oo_lcom numeric
@attribute WCHU_numberOfAttributesInherited numeric
@attribute LDHH_numberOfAttributes numeric
@attribute LDHH_numberOfLinesOfCode numeric
@attribute WCHU_fanOut numeric
@attribute ck_oo_numberOfAttributes numeric
@attribute numberOfHighPriorityBugsFoundUntil: numeric
@attribute ck_oo_numberOfPrivateAttributes numeric
@attribute numberOfMajorBugsFoundUntil: numeric
@attribute WCHU_numberOfPublicMethods numeric
@attribute LDHH_dit numeric
@attribute WCHU_numberOfMethodsInherited numeric
@attribute LDHH_fanOut numeric
@attribute ck_oo_numberOfMethodsInherited numeric
@attribute ck_oo_numberOfPublicMethods numeric
@attribute CvsExpEntropy numeric
@attribute LDHH_numberOfMethods numeric
@attribute class {buggy,clean}

@data
0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,4,6,1,0,0,6,0,0,0,0,1,0,1,0,0,0,0,0,67,4,0,0,clean
0,0,0.002543,0,0,6.41569,0,0,1,0,4,0,0,0.169334,0,0,0,0,1,1,0,0,6,0,0,0,0,2,0,2,0,0,0,1.01,0,6,4,0.034357,0,clean
0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1.01,0,10,2,0,0,clean
4,0,0.00207,0,0,1.76682,0,0,0,0,18,0,0,0.061715,0,0,4,0,2,2,0,0,28,0,0,0.004997,0,6,0,5,0,0,0,0,0,18,3,0.033928,0,clean
6,0.002966,0.205914,0.004984,0.002226,27.2338,0,2.08,0,1,77,0.00373,2.02,0.724685,0,0,24,0,1,9,0,0,231,0,0.00145,0.025617,6.11,6,0,5,3,3.08,0,2.02,0.007724,8,16,0.124462,0.005481,clean
5,0.004104,0.066654,0,0,16.6715,0,2.03,0,0,27,0.002497,0,0.460028,0,0,15,0,1,7,0,0,36,0,0,0.012683,3.1,0,0,0,0,0,0,0,0.005384,0,3,0.113029,0.011642,clean
0,0,0.001023,0,0,1.76682,0,0,0,0,8,0,0,0.061715,0,0,1,0,1,1,0,0,21,0,0,0.004997,0,6,0,3,0,0,0,0,0,6,7,0.033928,0,clean
1,0,0.048193,0,0,6.45747,0,1.03,0,0,35,0.003473,0,0.204077,0,0.00374,5,0,3,1,0,0,21,1.12,0,0.009529,1.01,9,0,9,1,0,0,1.01,0.002771,33,6,0.078402,0.003089,clean
0,0,0.000117,0,0,1.77712,0,0,0,0,3,0,0,0.06092,0,0,2,4,9,1,0,0,3,0,0,0,0,1,0,1,0,0,0,3.06,0,228,3,0.030953,0,clean
2,0,0.04909,0,0,7.22788,0,0,0,0,21,0,0,0.298961,0,0,9,0,1,1,0,0,28,0,0,0.004997,0,9,0,9,2,0,0,1.01,0,6,6,0.138708,0,buggy
0,0.00478,0.004494,0,0,7.47927,0,0,0,0,10,0,0,0.194515,0,0,4,0,1,11,0,0,15,0,0,0,1.01,4,0,3,0,0,0,0,0.000729,0,2,0.034528,0,clean
3,0.000638,0.057181,0,0.000528,18.2028,0,1.05,0,0,17,0.000399,1.02,0.469285,0,0,3,0,1,0,0,0,36,0,0.000361,0.007162,4.07,7,0,7,0,0,0,0,0.005369,0,6,0.068509,0.000458,clean
0,0,0.000117,0,0,1.77712,0,0,0,0,1,0,0,0.06092,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,1,0.030953,0,clean
2,0,0.019468,0,0,6.20292,0,1.01,0,0,19,0.00132,0,0.18202,0,0,3,0,1,3,0,0,10,0,0,0.00736,3.03,0,0,0,0,0,0,0,0.006157,0,3,0.043827,0.001394,clean
1,0.000755,0.046118,0.001086,0.0006,13.5092,0,0,0,0,24,0,1.01,0.362505,0,0,3,0,1,2,0,0,78,0,0.000712,0.015945,0,7,0,7,0,2.02,0,0,0,0,8,0.100537,0.010197,clean
0,0,0.007935,0.002009,0,7.63517,0,0,0,0,2,0,0,0.208079,0,0,1,0,1,1,0,0,1,0,0,0.002419,1.01,2,0,2,0,1.02,0,0,0.002417,0,1,0.042246,0.002356,clean
0,0,0.005064,0,0,4.72501,0,0,0,0,12,0,0,0.141992,0,0,0,0,1,1,0,0,36,0,0,0.004532,1.01,2,0,2,0,0,0,0,0.001815,12,9,0.038895,0,clean
0,0,0.042388,0,0,11.2502,0,0,0,0,8,0,0,0.312778,0,0,3,0,1,1,0,0,21,0,0,0.010188,1.01,5,0,5,0,0,0,0,0.000877,0,3,0.100516,0.00887,clean
1,0,0.043657,0,0.001571,6.94439,0,1.01,2,0,16,0.001272,1.01,0.203728,0,0,1,0,3,2,0,0,3,0,0.001292,0.008064,3.03,1,0,1,0,0,0,2.03,0.006843,16,1,0.046788,0.00162,clean
1,0,0.005432,0,0,3.12618,0,0,0,0,64,0,0,0.098696,0,0,4,0,1,1,0,0,21,0,0,0.004997,0,0,0,0,0,0,0,0,0,6,2,0.036832,0,clean
0,0.000722,0.020346,0,0.001855,8.81525,0,1.01,0,0,8,0.000617,1.01,0.235264,0,0,2,0,2,1,0,1.01,6,0,0.001703,0.007422,3.03,2,0,2,0,0,0.000295,1.09,0.003299,9,2,0.044937,0,clean
0,0.000612,0.003562,0,0,7.23217,0,0,2,0,7,0,0,0.186578,0,0.000762,4,9,4,3,0,0,10,1.01,0,0,0,2,0,1,0,0,0,3.07,0,48,3,0.031474,0,clean
9,0.006631,0.243135,0.000199,0,15.8933,0,4.04,0,0,45,0.003971,0,0.421662,0,0,14,0,1,6,0,0,78,0,0,0.013652,4.05,0,0,0,0,1.01,0,1.01,0.005898,6,4,0.070749,0.004673,buggy
0,0,0.027253,0,0,2.9034,0,0,0,0,7,0,0,0.11519,0,0,12,7,5,0,0,0,6,0,0,0.006476,0,0,0,0,1,0,0,0,0,40,1,0.091562,0,buggy
7,0.000807,0.026566,0,0,11.7472,0,0,0,0,49,0,0,0.304492,0,0.001986,14,0,3,0,0,0,136,1.01,0.000904,0.008364,2.02,7,0,7,0,0,0,3.04,0.002692,21,10,0.043268,0,clean
0,0,0.014336,0,0,4.69981,0,0,0,0,11,0,0,0.140719,0,0,2,0,4,1,0,0,10,0,0,0.001549,1.01,0,0,0,0,0,0,2.03,0.002006,18,5,0.039439,0,clean
0,0,0.001115,0,0,3.19311,0,0,0,0,9,0,0,0.093871,0,0,4,0,3,1,0,0,10,0,0,0,1.01,3,0,2,0,0,0,2.05,0.000989,32,5,0.031054,0,clean
2,0,0.013726,0,0,9.5467,0,0,0,0,18,0,0,0.251988,0,0.001986,7,0,3,1,0,0,66,1.01,0,0.007274,2.02,1,0,1,0,0,0,3.04,0.002692,21,10,0.04265,0,clean
7,0.023612,0.140377,0,0.000835,21.4383,0,3.03,1,0,99,0.003265,1.01,0.574608,0,0,23,0,1,29,0,0,378,0,0.001015,0.012488,9.12,8,0,1,0,0,0,1.01,0.014029,20,10,0.104791,0.004677,clean
1,0,0.001571,0,0,1.76682,0,0,1,0,6,0,0,0.061715,0,0,3,0,1,1,0,0,10,0,0,0.004997,0,1,0,0,0,0,0,0,0,0,4,0.033928,0,clean
1,0,0.002571,0,0,2.99178,0,0,0,0,3,0,0,0.099413,0,0,1,0,1,3,0,0,3,0,0.00223,0.004532,0,29,0,4,0,0,0,0,0,6,2,0.043815,0,clean
0,0.001557,0.003086,0,0,6.42599,0,0,0,0,7,0,0,0.168539,0,0,1,8,4,2,0,0,15,0,0,0,0,1,0,1,0,0,0,5.11,0,90,6,0.031381,0,clean
0,0.001402,0.030456,0.001498,0,4.4013,0,0,2,0,10,0,0,0.134278,0,0,2,0,3,2,0,0,55,0,0,0.002171,0,2,0,1,0,1.01,0,1.01,0,23,3,0.047038,0,clean
0,0,0.001164,0,0,1.56044,0,0,0,0,3,0,0,0.052586,0,0,2,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,20,3,0.024708,0,clean
1,0,0.005702,0,0.000835,9.02416,0,0,0,0,6,0,1.01,0.227553,0,0,4,0,1,1,0,0,6,0,0.000904,0.000634,0,4,0,4,0,0,0,0,0,0,3,0.0344,0,clean
0,0,0.01055,0,0,8.22594,0,0,0,0,22,0,0,0.228725,0,0,16,0,2,1,0,0,36,0,0,0.000726,1.01,0,0,0,0,0,0,0,0.00063,4,1,0.043458,0.000822,buggy
5,0,0.024198,0.002103,0,4.41258,0,0,0,0,16,0,0,0.138856,0,0,6,0,2,3,0,0,55,0,0,0.006755,1.01,1,0,1,0,1.01,0,0,0.002203,17,6,0.046384,0.002453,clean
0,0.00243,0.029437,0,0,3.8069,0,0,3,0,19,0,0,0.12122,1.01,0.007109,7,2,2,1,0.005184,0,21,1.01,0,0,0,1,0,1,0,0,0,1.01,0,47,1,0.043368,0,clean
0,0.000882,0.011664,0.000619,0,3.17625,0,0,2,0,1,0,0,0.094381,0,0,0,0,2,0,0,0,0,0,0.000438,0.000761,1.03,3,0,0,0,1.01,0,2.02,0.000642,9,1,0.031175,0.000576,clean
0,0,0.007449,0.000787,0.003313,10.1306,0,0,0,0,12,0,1.03,0.274225,0,0,10,0,2,0,0,0,21,0,0.003308,0.011986,1.01,12,0,8,0,1.01,0,0,0.001378,8,6,0.059212,0.003089,clean
1,0.001768,0.022974,0.002033,0,8.47144,0,0,0,0,10,0,0,0.231447,0,0,7,4,4,5,0,0,15,0,0,0.001925,4.05,1,0,1,0,1.02,0,4.11,0.009969,51,5,0.041703,0.00211,clean
10,0.011445,0,0.004894,0.010086,0,0,5.18,0,0,70,0.010505,8.22,0,0,0,8,0,1,10,0,0,325,0,0.011906,0.040182,3.03,25,0,21,0,3.07,0,0,0.009174,0,9,0,0.007078,clean
0,0.002695,0.018776,0.000526,0,13.5775,0,0,0,0,23,0,0,0.35167,0,0.000966,7,3,7,3,0,0,171,1.01,0,0.003011,2.04,5,0,5,0,1.01,0,4.07,0.003188,92,16,0.048347,0.000562,buggy
0,0.022332,0.026915,0.007616,0.001799,18.2442,0,0,2,0,32,0,1.01,0.474248,2.02,0,0,0,1,16,0.001796,0,120,0,0,0.013089,0,1,0,0,0,6.06,0,1.01,0,6,16,0.061239,0.008171,buggy
5,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,7,0,2,6,0,0,66,0,0,0,0,1,0,1,0,0,0,0,0,17,7,0,0,clean
1,0,0.000648,0,0,1.76682,0,0,0,0,2,0,0,0.061715,0,0,2,0,1,0,0,0,1,0,0,0.004997,0,0,0,0,0,0,0,0,0,6,1,0.033928,0,buggy
0,0.000755,0.006423,0.001113,0.000549,4.18914,0,0,7,0,13,0,1.01,0.11457,1.01,0,3,0,1,7,0.000498,0,45,0,0.000547,0.001166,1.01,2,0,2,0,2.03,0,1.01,0.000632,8,8,0.030987,0.001271,clean
0,0,0.006332,0,0.002713,7.6507,0,0,2,0,7,0,1.01,0.206349,0,0,2,3,3,3,0,0,21,0,0.001748,0,1.01,5,0,3,0,0,0,1.01,0.000691,24,7,0.041955,0,clean
2,0.0007,0.208582,0.000687,0.000488,13.8243,0,0,0,0,8,0,1.03,0.347748,0,0.034517,6,11,1,0,0,0,28,9.16,0.000443,0.007495,1.05,3,0,3,0,1.01,0,0,0.000666,0,4,0.04099,0.001365,buggy
0,0.000727,0.010231,0.000503,0,9.95198,0,0,0,0,12,0,0,0.248675,0,0,2,0,1,2,0,0,21,0,0,0.005567,1.01,3,0,3,0,1.01,0,1.01,0.000877,6,7,0.034434,0.000549,clean
11,0.011428,0.532839,0.011187,0.004729,38.2013,0,7.19,0,1,88,0.005426,5.08,1.01253,0,0.001028,26,6,2,6,0,1.01,435,2.06,0.004337,0.036004,10.39,6,2,6,1,11.17,0.000183,7.18,0.010453,19,18,0.152349,0.012808,buggy
0,0.003389,0.026935,0.001226,0.001256,10.6277,0,0,0,0,36,0,2.02,0.281968,0,0.001305,11,27,5,5,0,0,105,2.02,0.001272,0.004769,4.07,4,1,4,2,2.03,0,4.15,0.006776,143,13,0.043977,0.001342,clean
14,0.001979,0.017784,0.001526,0,3.1028,0,0,0,0,50,0,0,0.102465,0,0,29,0,1,1,0,0,136,0,0.001703,0.006855,1.03,8,0,2,0,1.01,0,0,0.001378,0,2,0.044337,0.0017,clean
0,0.009559,0.015588,0.000537,0,9.66991,0,0,0,0,8,0,0,0.262385,0,0,4,6,6,12,0,0,15,0,0,0.002325,1.01,1,0,1,0,1.01,0,5.12,0.000687,78,5,0.041234,0.000956,clean
0,0,0.001486,0,0,3.19695,0,0,0,0,3,0,0,0.09499,0,0,1,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0.0312,0,clean
0,0.002387,0.10781,0.003242,0.002713,18.4852,0.000663,0,2,0,44,0,1.01,0.49561,0,0,13,5,3,5,0,0,190,0,0.004608,0.010065,5.09,5,0,1,0,2.04,0,4.06,0.008125,71,14,0.081712,0.005015,clean
0,0,0.07253,0,0,7.36317,0.014107,0,0,0,0,0,0,4.11741,0,0,0,0,1,0,0,0,0,0,0.011713,0,0,235,0,1,0,0,0,0,0,0,0,0.151176,0,clean
0,0,0.01152,0,0,4.50348,0,0,2,0,4,0,0,0.135081,0,0,3,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1.01,0,10,2,0.040448,0,clean
0,0,0.025959,0.00443,0.005994,8.07975,0,0,0,0,8,0,1.01,0.236319,0,0,3,19,5,4,0,0,15,1.03,0,0.006476,2.02,3,0,3,0,1.02,0,5.08,0.007822,92,6,0.086704,0.005735,clean
3,0,0.045445,0.002642,0,4.23308,0,0,0,0,76,0,0,0.138302,0,0,10,0,1,12,0,0,91,0,0,0.007456,0,0,1,0,0,1.01,0,0,0,6,11,0.059904,0.003038,buggy
0,0,0.013274,0,0,14.001,0,0,1,0,21,0,0,0.370064,0,0.001203,10,6,2,1,0,0,21,1.01,0,0.008194,0,1,0,0,1,0,0,3.03,0,26,4,0.04968,0,clean
0,0,0.005741,0,0,7.87093,0,0,0,0,4,0,0,0.221422,0,0,3,5,3,1,0,0,3,0,0,0,1.01,1,0,1,0,0,0,1.01,0.001255,14,2,0.044889,0,clean
0,0.003268,0.003193,0,0,6.41569,0,0,2,0,2,0,0,0.169334,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.034357,0,clean
0,0,0.000857,0,0,1.77712,0,0,0,0,6,0,0,0.06092,0,0,3,0,1,1,0,0,10,0,0,0,0,2,0,0,0,0,0,0,0,6,4,0.030953,0,buggy
19,0,0.049381,0,0,3.71865,0,0,0,0,63,0,0,0.110538,0,0,10,0,1,1,0,0,210,0,0,0.005523,1.01,0,0,0,0,0,0,0,0.000928,6,2,0.032397,0,clean
1,0,0.005985,0,0,9.31549,0,0,1,0,12,0,0,0.239474,0,0,2,0,1,1,0,0,6,0,0,0.004997,0,2,0,2,0,0,0,1.01,0,6,3,0.035268,0,clean
1,0.000755,0.003981,0,0,6.41569,0,0,0,0,13,0,0,0.169334,0,0,2,0,1,0,0,0,6,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0.034357,0,clean
0,0,0.012856,0,0,5.84321,0,0,0,0,22,0,0,0.157322,0,0.0074,2,30,5,0,0,0,28,3.12,0,0,1.01,1,0,1,0,0,0,9.59,0.002051,251,7,0.031525,0,clean
0,0.011225,0.008508,0,0,10.7189,0,0,0,0,15,0,0,0.285475,0,0,2,0,1,8,0,0,55,0,0,0.002353,1.01,1,0,1,0,0,0,1.01,0.00094,6,11,0.044091,0,clean
0,0,0.000399,0,0,1.76682,0,0,0,0,8,0,0,0.061715,0,0,7,0,1,2,0,0,15,0,0,0.004997,0,1,0,0,0,0,0,0,0,9,6,0.033928,0,clean
0,0.007589,0.036348,0.000703,0.0006,14.6883,0,1.03,0,0,57,0.000741,1.01,0.378963,0,0.005384,12,21,3,9,0,0,190,2.06,0.000464,0.012465,8.14,15,0,9,0,1.01,0,1.01,0.007499,35,20,0.057299,0.001697,clean
8,0,0.005307,0,0,2.71813,0,0,0,0,42,0,0,0.097266,0,0,21,0,1,2,0,0,45,0,0,0.004997,0,4,0,4,0,0,0,0,0,0,1,0.058544,0,clean
2,0,0.012584,0,0.000835,10.3221,0,0,0,0,32,0,1.04,0.269015,0,0.001986,10,0,3,0,0,0,91,1.01,0.000904,0.007274,2.02,3,0,2,0,0,0,3.04,0.002692,21,11,0.042657,0,clean
0,0,0.041109,0,0,8.97676,0,0,0,0,11,0,0,0.285053,0,0,3,0,1,1,0,0,15,0,0,0.009997,0,3,0,3,0,0,0,0,0,0,2,0.114071,0,buggy
2,0,0.013729,0,0,5.72876,0,0,0,0,23,0,0,0.149601,0,0.000543,6,2,3,1,0,0,36,1.02,0,0.001524,3.03,3,0,3,0,0,0,4.1,0.002365,34,7,0.031076,0,clean
11,0,0.291638,0.000909,0.002199,15.4536,0,3.11,0,0,93,0.002722,2.04,0.439562,0,0,19,0,1,1,0,0,210,0,0.001705,0.015469,4.14,12,0,12,1,1.03,0,0,0.005262,6,10,0.097813,0.004366,buggy
0,0,0.009451,0,0,10.0245,0,0,0,0,20,0,0,0.268815,0,0,9,5,3,1,0,0,36,0,0,0.00513,3.03,3,0,2,1,0,0,4.06,0.004363,67,7,0.047357,0,clean
0,0,0.016933,0,0,4.69981,0,0,2,0,4,0,0,0.140719,0,0,0,0,3,2,0,0,1,0,0,0.001549,2.08,0,0,0,0,0,0,2.03,0.00354,16,1,0.039439,0,clean
0,0,0.003005,0,0,4.87416,0,0,0,0,8,0,0,0.130918,0,0,2,0,3,1,0,0,21,0,0,0,1.01,3,0,3,0,0,0,2.05,0.000989,34,7,0.03107,0,clean
4,0.007951,0.27717,0.000836,0.000504,20.6318,0,2.09,0,0,29,0.000833,2.03,0.616172,0,0,12,0,1,4,0,0,21,0,0.000865,0.00953,7.37,2,0,1,0,2.05,0,1.01,0.008998,6,3,0.205717,0.000838,clean
3,0,0.05717,0,0,5.02919,0,0,0,0,33,0,0,0.157739,0,0,17,0,2,1,0,0,55,0,0,0.004997,0,2,0,1,0,0,0,1.06,0,29,6,0.052183,0,clean
0,0,0.127028,0.004887,0,17.0132,0,0,1,0,19,0,0,0.560387,0,0.023538,3,43,2,1,0,0,78,8.2,0,0.019957,0,4,0,1,0,1.01,0,2.02,0,6,10,0.227326,0.010699,clean
0,0.012893,0.044551,0.003057,0.002243,15.677,0,0,2,0,39,0,1.03,0.421727,0,0.001986,8,0,3,25,0,0,465,1.01,0.002124,0.017087,3.05,4,0,3,0,2.12,0,3.15,0.006627,32,14,0.06509,0.008385,clean
0,0,0.000665,0,0,1.56044,0,0,0,0,2,0,0,0.052586,0,0,2,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,2,0.024708,0,clean
0,0,0.000117,0,0,1.77712,0,0,0,0,1,0,0,0.06092,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,1,0.030953,0,clean
1,0.002036,0.072874,0.00334,0,21.903,0,1.01,0,0,35,0.001005,0,0.561237,0,0,17,1,3,2,0,0,210,0,0,0.014607,5.07,1,0,1,0,3.04,0,12.22,0.005113,72,9,0.053183,0.006416,clean
15,0,0.067882,0,0.010093,3.81443,0,0,0,0,98,0,3.05,4.09013,0,0,8,0,1,4,0,0,351,0,0.056273,0.038775,0,39,0,39,1,0,0,0,0,6,9,0.214649,0,clean
1,0.003201,0.026681,0.002425,0.000757,10.7641,0,1.01,0,0,21,0.000665,1.01,0.286389,0,0,3,0,1,8,0,0,45,0,0.000579,0.002877,3.07,4,0,2,0,2.03,0,0,0.003798,0,9,0.044929,0.00244,clean
1,0,0.017058,0,0,4.41939,0,0,0,0,7,0,0,0.197615,0,0,5,4,3,1,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,9,1,0.128048,0,clean
0,0,0.004604,0,0,4.68802,0,0,0,0,11,0,0,0.13759,0,0,3,2,1,0,0,0,28,0,0,0,0,1,0,1,0,0,0,1.01,0,9,8,0.037315,0,clean
3,0.002067,0.098615,0.001498,0,6.39356,0,1.01,0,0,29,0.001748,0,0.221531,0,0,5,0,1,1,0,0,10,0,0,0.009129,1.02,1,0,1,0,1.01,0,0,0.002679,7,2,0.117278,0.00192,clean
0,0,0.004988,0,0,1.56044,0,0,0,0,8,0,0,0.052586,0,0,2,13,5,1,0,0,28,0,0,0,0,2,0,0,0,0,0,2.04,0,80,7,0.024708,0,clean
0,0.009026,0.025137,0,0,7.20141,0,0,0,0,7,0,0,0.197819,0,0,6,0,1,1,0,0,10,0,0,0.008142,1.01,1,0,1,0,0,0,1.01,0.002417,6,5,0.04215,0,clean
0,0.02192,0.003189,0,0,6.41569,0,0,0,0,14,0,0,0.169334,0,0,3,0,1,20,0,0,66,0,0,0.004997,0,2,0,2,0,0,0,1.01,0,6,12,0.034357,0,clean
1,0,0.083929,0.001664,0.000284,18.6835,0,3.03,0,0,33,0.001594,1.01,0.497542,0,0.001317,8,5,3,1,0,3.03,153,3.07,0.000365,0.016071,6.13,1,0,1,0,3.07,0.000993,12.55,0.004295,31,3,0.104534,0.012107,clean
0,0,0.081698,0.000934,0,10.4273,0,0,0,0,13,0,0,0.318859,0,0,16,2,2,0,0,0,6,0,0,0.007461,2.14,0,0,0,0,1.01,0,0,0.00269,9,2,0.097464,0.000923,clean
0,0,0.001136,0,0,3.19695,0,0,0,0,3,0,0,0.09499,0,0,1,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0.0312,0,clean
0,0,0.00239,0,0,3.18664,0,0,0,0,5,0,0,0.095785,0,0.001175,2,5,3,1,0,0,6,1.01,0,0,0,1,0,1,0,0,0,3.1,0,14,3,0.034176,0,clean
0,0,0.04032,0,0.001432,10.2902,0,0,0,0,15,0,1.02,0.28873,0,0,3,4,2,2,0,0,45,0,0.001446,0.011343,1.01,4,0,4,0,0,0,2.02,0.000761,18,6,0.068147,0.004216,clean
6,0,0.021319,0.001685,0,11.5044,0,1.01,0,0,45,0.001697,0,0.312227,0,0.001986,21,2,5,1,0,0,231,1.01,0,0.010881,0,4,0,4,0,1.01,0,5.37,0,72,5,0.046371,0.002984,clean
5,0,0.032409,0.001047,0.001131,3.28852,0,1.01,0,0,33,0.001242,1.01,0.104707,0,0,8,14,1,1,0,0,78,0,0.001237,0.006376,0,5,0,5,0,1.01,0,0,0,0,8,0.039303,0.001267,clean
0,0,0.038033,0.000702,0,14.8927,0,1.01,0,0,11,0.000741,0,0.384781,0,0.001986,7,0,3,1,0,0,36,1.01,0.000904,0.006109,2.02,3,0,3,0,1.01,0,3.04,0.002692,21,9,0.046565,0.001667,clean
1,0.000832,0.00718,0.000537,0,4.5126,0.001205,0,0,0,10,0,0,0.130509,0,0,5,0,1,1,0,0,28,0,0.000632,0.000865,0,3,0,0,0,1.03,0,0,0,0,6,0.035721,0.000956,buggy
7,0.029623,0.153059,0.001306,0,9.50502,0,2.07,0,0,57,0.002358,0,0.271362,0,0,7,0,1,27,0,0,66,0,0.001042,0.008038,2.03,1,0,0,0,2.02,0,0,0.002369,6,5,0.051703,0.003229,clean
0,0.021183,0.15206,0.006225,0,21.0564,0,0,0,0,42,0,0,0.5292,0,0,13,0,1,30,0,0,45,0,0,0.011524,6.19,0,0,0,1,8.11,0,1.01,0.005434,6,10,0.0449,0.006382,buggy
0,0,0.000274,0,0,1.76682,0,0,0,0,9,0,0,0.061715,0,0,0,0,1,1,0,0,10,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0.033928,0,clean
1,0,0.018105,0,0,2.84822,0,0,0,0,13,0,0,0.093944,0,0,13,13,5,1,0,0,45,0,0,0.003115,0,5,0,0,0,0,0,2.04,0,80,7,0.039721,0,clean
10,0.030727,0.12552,0.008228,0,14.328,0,1.01,0,0,101,0.001809,0,0.426771,0,0,21,0,1,29,0,0,210,0,0.001096,0.018901,2.04,9,0,3,0,5.06,0,1.01,0.004558,6,11,0.131196,0.008767,buggy
1,0.002862,0.006675,0,0,10.2185,0,0,0,0,8,0,0,0.255261,0,0,1,0,1,2,0,0,15,0,0,0.000695,0,2,0,2,0,0,0,1.01,0,6,5,0.034491,0,clean
3,0.005181,0.116567,0.001371,0,6.91542,0,1.01,2,0,28,0.001161,0,0.190289,0,0.00374,10,0,2,7,0,0,91,1.01,0,0.007431,2.03,4,0,4,0,1.01,0,8.2,0.00245,56,7,0.036632,0.001341,buggy
1,0.001666,0.064607,0.001482,0,17.3959,0,1.01,2,0,26,0.0006,0,0.550306,0,0.003121,4,0,1,2,0,0,36,3.11,0,0.008345,1.01,1,0,0,0,2.02,0,1.01,0.000841,6,6,0.14765,0.000828,buggy
4,0,0.02255,0,0.000835,8.42705,0,2.03,0,0,22,0.002209,1.05,0.226056,0,0,11,0,1,1,0,0,55,0,0.000904,0.007129,0,4,0,4,1,0,0,0,0,0,7,0.042673,0.002363,clean
52,0.006119,0.393324,0.009625,0.006789,13.0688,0,5.12,0,0,235,0.01819,2.05,0.593991,0,0,35,0,1,6,0,0,3003,0,0.012669,0.043893,6.14,55,0,34,3,3.03,0,0,0.021441,0,15,0.403804,0.01981,buggy
1,0.00379,0.017489,0.004189,0,9.75182,0,0,8,0,14,0,0,0.278914,1.01,0,3,0,3,11,0.000683,0,120,0,0,0.004461,1.01,2,0,2,0,3.04,0,6.11,0.002006,17,14,0.052276,0.00271,clean
0,0,0.035857,0.001423,0,5.74149,0,0,0,0,11,0,0,0.173855,0,0.002202,7,3,4,1,0,1.01,15,1.02,0,0.004558,1.01,1,0,0,0,1.01,0.00166,3.11,0.002203,51,3,0.049748,0.003913,clean
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,clean
