@relation 'data/M_multi_metrics_PDE.csv-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R2-6,9,11-15,18,20,24-26,28,30,33,35-43,47,49-55,58-61'

@attribute ck_oo_numberOfPrivateMethods numeric
@attribute CvsWEntropy numeric
@attribute LDHH_numberOfPublicMethods numeric
@attribute LDHH_numberOfPrivateAttributes numeric
@attribute ck_oo_noc numeric
@attribute numberOfCriticalBugsFoundUntil: numeric
@attribute LDHH_numberOfPrivateMethods numeric
@attribute CvsLogEntropy numeric
@attribute WCHU_noc numeric
@attribute LDHH_numberOfAttributesInherited numeric
@attribute ck_oo_numberOfAttributesInherited numeric
@attribute ck_oo_dit numeric
@attribute LDHH_noc numeric
@attribute WCHU_dit numeric
@attribute WCHU_numberOfAttributesInherited numeric
@attribute numberOfHighPriorityBugsFoundUntil: numeric
@attribute ck_oo_numberOfPrivateAttributes numeric
@attribute numberOfMajorBugsFoundUntil: numeric
@attribute LDHH_dit numeric
@attribute ck_oo_numberOfMethodsInherited numeric
@attribute ck_oo_numberOfPublicMethods numeric
@attribute class {buggy,clean}

@data
11,0.133105,0.00053,0.002038,2,0,0.002487,0.495106,1.02,0.001986,0,3,0.000498,0,1.01,0,12,0,0,21,7,clean
0,0.021781,0.000777,0.002713,1,0,0.000319,0.511397,0,0.000966,2,6,0,0,1.01,0,1,0,0,73,10,clean
2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,6,4,clean
0,0.005398,0,0,0,0,0,0.234844,0,0,0,1,0,0,0,0,0,0,0,6,1,clean
2,0.063238,0.004088,0.001922,0,1,0,0.524193,0,0,1,3,0,0,0,2,1,3,0,72,11,buggy
0,0.009932,0.00126,0,0,0,0,0.25412,0,0,0,1,0,0,0,0,0,0,0,0,1,clean
0,0.003764,0.000407,0,0,0,0,0.09279,0,0.001959,5,2,0,0,2.06,0,0,0,0,21,3,clean
0,0.116715,0.00117,0.001053,0,0,0,0.410909,0,0.002445,12,2,0,0,3.19,0,2,1,0,14,3,clean
0,0.031897,0,0,0,0,0,0.1993,0,0,1,3,0,0,0,0,0,0,0,30,1,clean
5,0.191977,0,0.011941,0,1,0.011984,0.660711,0,0.005045,11,2,0,0,3.15,0,18,3,0,13,4,buggy
0,0.005865,0,0,0,0,0,0.253344,0,0.000762,7,3,0,0,1.01,0,2,0,0,54,7,clean
0,0.008712,0.002434,0,0,0,0.002409,0.14367,0,0,0,1,0,0,0,0,2,0,0,6,2,clean
0,0.035008,0,0,1,0,0,0.301086,0,0,0,1,0,0,0,0,5,0,0,6,5,buggy
0,0.015448,0,0,0,0,0,0.138856,0,0,5,6,0,0,0,0,3,0,0,93,3,clean
1,0.012715,0,0,0,0,0,0.267765,0,0,0,2,0,0,0,0,0,0,0,28,1,clean
0,0.012768,0,0,1,0,0.002409,0.38395,1.01,0,0,1,0.001082,0,0,0,3,0,0,6,2,clean
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,9,clean
0,0.00327,0,0,3,0,0,0.196109,0,0.000762,6,3,0,0,1.01,0,1,0,0,39,3,clean
0,0.002242,0,0,0,0,0,0.14874,0,0.001644,3,2,0,0,2.08,0,0,0,0,20,1,clean
0,0.004246,0,0,3,0,0,0.169334,0,0,0,1,0,0,0,0,2,0,0,0,5,clean
10,0.08079,0.006397,0.002294,0,0,0.000867,0.367256,0,0,0,4,0,0,0,0,9,0,0,32,9,clean
0,0.001965,0,0,0,0,0,0.09829,0,0,2,5,0,0,0,0,5,0,0,55,3,clean
0,0.033566,0,0,0,1,0,4.18617,0,0.001986,0,1,0,0,1.08,0,0,1,0,0,1,buggy
0,0.007177,0,0.000835,0,0,0,0.314543,0,0,0,2,0,0,0,0,1,0,0,3,1,clean
4,0.022804,0,0,0,0,0,0.398003,0,0,0,1,0,0,0,0,4,0,0,6,2,clean
0,0.003269,0,0,1,0,0,0.191806,0,0,4,1,0,0,0,0,6,0,0,12,7,buggy
0,0.021051,0,0,2,0,0,0.102722,0,0,0,1,0,0,0,0,1,1,0,0,11,clean
2,0.0002,0,0,0,0,0,0.061715,0,0,0,1,0,0,0,0,7,0,0,6,3,buggy
2,0.005304,0,0,0,0,0,0.217436,0,0,3,4,0,0,0,0,1,0,0,51,3,buggy
1,0.014132,0,0,0,0,0,0.168267,0,0,0,1,0,0,0,0,20,0,0,6,24,buggy
3,0.044194,0.002705,0.002354,0,0,0,0.181891,0,0.001223,1,2,0,1.01,1.01,0,9,1,0.000869,11,14,clean
10,0.06798,0,0,0,0,0.00236,0.157739,0,0,0,4,0,0,0,0,4,0,0,39,7,clean
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,4,2,clean
0,0.149945,0.000717,0,2,1,0,0.595141,0,0,0,1,0,0,0,0,0,2,0,0,9,buggy
0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,clean
0,0.003499,0,0,0,0,0,0.194515,0,0,0,1,0,0,0,0,2,0,0,6,4,clean
0,0.014303,0.002103,0,7,0,0,0.246125,7.08,0,0,2,0.013394,0,0,0,0,0,0,6,6,clean
0,0.000665,0,0,0,0,0,0.052586,0,0,0,6,0,0,0,0,0,0,0,20,3,clean
1,0.003824,0,0,0,0,0,0.205054,0,0,0,1,0,0,0,0,1,0,0,6,4,clean
0,0.000249,0,0,0,0,0,0.061715,0,0,0,2,0,0,0,0,0,0,0,9,5,clean
0,0.015957,0,0,0,0,0,0.152022,0,0,1,2,0,0,0,0,1,0,0,14,1,clean
0,0.003171,0,0,0,0,0,0.194515,0,0,0,1,0,0,0,0,0,0,0,15,9,buggy
3,0.186016,0,0.000829,3,0,0.000849,0.319893,0,0,0,1,0,0,0,0,3,0,0,6,8,buggy
0,0.020084,0,0,0,0,0,0.084262,0,0,3,2,0,0,0,0,0,0,0,20,1,clean
0,0.036905,0.002818,0.000775,0,0,0.000747,0.226477,0,0.004098,4,4,0,2.02,3.04,0,0,0,0.000359,16,3,clean
7,0.015405,0,0.000835,1,0,0,0.225648,0,0.001986,0,3,0,0,1.01,0,5,0,0,21,15,clean
1,0.056221,0,0.001306,1,0,0,0.378897,1.01,0,0,1,0.000945,0,0,0,5,0,0,0,5,clean
0,0.00661,0,0,0,0,0,0.107253,0,0,0,1,0,0,0,0,2,0,0,6,4,clean
0,0.018213,0,0,0,0,0,0.126122,0,0.00199,5,5,0,0,2.03,0,0,0,0,89,1,clean
0,0.004159,0,0.000835,1,0,0,0.198359,1.01,0,0,2,0.001219,0,0,0,5,0,0,8,4,clean
5,0.038001,0,0,0,0,0.00337,0.159886,0,0,0,1,0,0,0,0,0,0,0,6,2,clean
1,0.007181,0,0,0,0,0,0.114134,0,0,1,4,0,0,0,0,2,0,0,34,2,clean
0,0.017487,0.00117,0,0,0,0,0.315309,0,0,5,5,0,0,0,0,2,0,0,86,6,clean
0,0.03743,0.002485,0.001256,0,0,0,0.376646,0,0.001305,31,5,0,0,2.04,0,5,0,0,79,16,clean
0,0.022222,0.002009,0,0,0,0,0.138856,0,0.00651,158,6,0,1.01,3.31,0,1,0,0.0023,499,12,clean
4,0.252955,0.005768,0.004464,0,0,0.004157,0.528067,0,0,0,1,0,0,0,0,7,2,0,6,13,clean
0,0.036948,0,0.001202,0,0,0,0.29603,0,0,0,1,0,0,0,0,4,0,0,0,2,clean
12,0.193112,0.002291,0.005788,0,1,0.003107,0.794498,0,0,0,3,0,1.01,0,0,4,1,0.000693,37,3,clean
0,0.095906,0,0,0,0,0,4.99501,0,0,0,1,0,0,0,0,1,1,0,0,0,buggy
7,0.025583,0,0,0,0,0,0.313029,0,0.001986,0,3,0,0,1.01,0,6,0,0,21,8,clean
0,0.01162,0,0,0,0,0,0.117977,0,0.005456,28,5,0,0,2.17,0,1,0,0,248,7,clean
0,0.000499,0,0,0,0,0,0.052586,0,0,0,6,0,0,0,0,0,0,0,20,3,clean
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,clean
5,0.105731,0.000619,0.001328,0,0,0.003665,0.489061,0,0,0,1,0,0,0,0,4,0,0,0,3,clean
1,0.005067,0,0,0,0,0,0.19472,0,0,0,1,0,0,0,0,1,0,0,6,5,clean
1,0.011072,0,0,0,0,0,0.093944,0,0,13,5,0,0,0,0,2,0,0,80,8,clean
0,0.003185,0,0,0,0,0,0.169334,0,0,0,1,0,0,0,0,2,0,0,6,4,clean
1,0.009729,0,0,0,0,0,0.087183,0,0,2,5,0,0,0,0,4,0,0,55,3,clean
0,0.004275,0,0,0,0,0,0.144244,0,0,0,1,0,0,0,0,2,0,0,0,1,clean
5,0.019249,0,0,0,0,0,0.147519,0,0,0,1,0,0,0,0,7,0,0,6,15,clean
7,0.030971,0,0,3,0,0.002409,0.227843,0,0,7,2,0,0,0,0,11,0,0,62,47,buggy
1,0.051336,0,0,3,0,0,0.310246,0,0,0,1,0,0,0,0,3,0,0,6,2,buggy
0,0.014315,0.001685,0,0,0,0,0.176257,0,0.001986,1,5,0,0,1.01,0,4,0,0,78,12,buggy
3,0.004933,0,0,0,0,0,0.219763,0,0,0,1,0,0,0,0,5,0,0,0,4,clean
0,0.001097,0,0,0,0,0,0.09499,0,0.00199,5,5,0,0,2.03,0,0,0,0,89,1,clean
6,0.12801,0.00117,0.001053,0,0,0.000763,0.383659,0,0,0,1,0,0,0,0,4,0,0,6,3,clean
0,0.049227,0,0.000706,0,0,0,0.151782,0,0,0,1,0,0,0,0,2,0,0,6,1,clean
0,0.056695,0,0.023449,0,0,0,0.247483,0,0.008453,8,3,0,0,2.02,0,1,0,0,36,1,buggy
0,0.004965,0,0,0,0,0,0.096349,0,0,0,1,0,0,0,0,0,0,0,6,6,clean
1,0.010861,0,0,0,0,0,0.198115,0,0,1,2,0,0,0,0,0,0,0,11,9,clean
0,0.122363,0.004887,0.004435,0,0,0,4.29487,0,0,0,1,0,0,0,0,0,1,0,6,4,clean
0,0.005309,0,0,0,0,0,0.169334,0,0,0,1,0,0,0,0,1,0,0,0,8,clean
0,0.075869,0,0,0,0,0,0.289839,0,0,0,1,0,0,0,0,0,0,0,6,4,clean
1,0.020257,0,0,0,0,0,0.411045,0,0,0,1,0,0,0,0,4,0,0,11,8,clean
0,0.00611,0,0.003313,0,0,0,0.112153,0,0,1,2,0,0,0,0,9,0,0,36,5,clean
6,0.055891,0,0.001799,0,0,0.001617,0.301819,0,0,0,2,0,0,0,0,6,0,0,28,3,buggy
2,0.01246,0,0,0,1,0,0.159775,0,0,0,1,0,0,0,0,1,1,0,6,5,clean
0,0.042147,0.002861,0.002713,4,0,0,0.550266,0,0,1,2,0,0,0,0,5,1,0,21,23,clean
0,0.015312,0,0.000835,0,0,0,0.310315,0,0,0,2,0,0,0,0,2,0,0,28,2,clean
5,0.054705,0.000848,0.000829,0,0,0.001005,0.280825,0,0,0,1,0,0,0,0,2,0,0,0,3,clean
0,0.000078,0,0,3,0,0,0.06092,0,0,3,1,0,0,0,0,0,0,0,7,3,clean
0,0,0.001772,0.000549,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,31,8,clean
1,0.005587,0,0,0,0,0,0.198359,0,0,0,1,0,0,0,0,4,0,0,0,5,clean
5,0.133329,0,0.001935,0,0,0.001849,0.147555,0,0,0,1,0,0,0,0,1,0,0,6,12,buggy
1,0.013492,0.000777,0.002713,2,0,0,0.346922,0,0.000966,2,5,0,1.01,1.01,1,3,1,0.000983,71,10,clean
1,0.048264,0.002967,0.00292,0,0,0,0.315381,0,0,0,1,0,0,0,0,10,0,0,6,13,clean
1,0.027569,0.001089,0,0,0,0,0.179677,0,0,1,2,0,0,0,0,0,0,0,4,3,clean
0,0.012874,0.0007,0,0,0,0,0.295297,0,0,0,2,0,0,0,0,5,0,0,8,7,clean
0,0.003962,0,0,0,0,0,0.089543,0,0,1,2,0,0,0,0,0,0,0,10,2,clean
0,0.062943,0.001605,0.001432,0,0,0,0.288809,0,0,0,2,0,0,0,0,5,0,0,8,6,clean
1,0.01693,0.000848,0,0,0,0,0.159697,0,0,0,1,0,0,0,0,0,0,0,0,11,clean
5,0.014362,0,0,0,0,0,0.213975,0,0,13,5,0,0,0,0,0,0,0,80,9,clean
21,0.345489,0,0.00234,0,0,0.008811,0.741349,0,0.001986,2,5,0,0,1.01,0,10,1,0,73,6,clean
0,0.008692,0.0007,0.000752,0,0,0,0.142564,0,0.001305,8,3,0,0,2.02,0,3,0,0,55,7,clean
1,0.076003,0.001089,0.002713,2,0,0,0.346092,0,0.0074,19,4,0,0,3.12,0,2,1,0,192,21,clean
1,0.000698,0,0,0,0,0,0.061715,0,0,0,1,0,0,0,0,1,0,0,0,3,clean
1,0.002543,0,0,0,0,0,0.146801,0,0,0,1,0,0,0,0,5,0,0,0,4,clean
3,0.031059,0,0,0,0,0,0.184027,0,0,0,1,0,0,0,0,0,0,0,0,2,clean
3,0.001192,0,0,0,0,0,0.049262,0,0,0,1,0,0,0,0,0,1,0,6,2,clean
1,0.145847,0.004112,0.002713,3,0,0,0.198321,2.02,0.002859,14,3,0.008087,0,1.11,0,3,0,0,195,27,clean
5,0.212011,0.006397,0.005531,0,0,0.002937,0.439259,0,0.000669,0,4,0,0,1.01,0,9,0,0,32,11,clean
1,0.002362,0,0,0,0,0,0.107619,0,0,0,2,0,0,0,0,0,0,0,29,2,clean
0,0.016984,0,0,0,0,0,0.210719,0,0.003046,4,4,0,1.01,2.02,0,0,0,0.000359,16,2,clean
0,0.006365,0,0,0,0,0,0.205054,0,0.001203,7,3,0,0,1.01,0,0,0,0,33,2,clean
0,0.002547,0.000845,0,0,0,0,0.095785,0,0.001175,7,3,0,0,1.01,0,0,0,0,14,2,clean
0,0.004608,0,0,0,0,0,0.085143,0,0,0,2,0,0,0,0,1,0,0,29,6,clean
13,0.079729,0.002103,0,7,0,0,0.564533,3.03,0,1,3,0.010111,0,0,0,0,0,0,41,1,clean
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,5,clean
4,0.066065,0.0007,0.001588,0,0,0.000784,0.144814,0,0.002529,2,5,0,1.02,2.03,1,4,1,0,72,9,clean
1,0.012817,0.000711,0,0,0,0.001235,0.264973,0,0,11,3,0,0,0,0,2,0,0,29,5,clean
3,0.003076,0,0,0,0,0,0.102206,0,0,0,1,0,0,0,0,0,0,0,6,1,clean
8,0.071993,0.002563,0.000549,0,0,0.000511,0.44627,1.01,0.001986,0,3,0.000682,0,1.01,0,6,0,0,21,7,clean
1,0.051439,0.001547,0.000362,0,0,0.001704,0.472641,0,0.001237,1,2,0,0,1.01,0,7,0,0,4,9,clean
0,0.00279,0,0,2,0,0,0.169334,0,0,0,1,0,0,0,0,2,0,0,0,1,clean
0,0.000349,0,0,0,0,0,0.061715,0,0,2,2,0,0,0,0,0,0,0,14,1,clean
2,0.107786,0.006397,0.004093,0,0,0.001617,0.439259,0,0.000669,0,4,0,0,1.01,0,5,0,0,32,11,clean
13,0.162925,0.003341,0.006294,0,0,0.005992,0.460277,0,0,0,5,0,1.04,0,0,8,0,0.000487,34,6,clean
0,0.000506,0,0,0,0,0,0.06092,0,0,0,2,0,0,0,0,1,0,0,43,2,clean
4,0.087589,0.001685,0,0,0,0,0.361643,0,0.001986,2,5,0,0,1.01,0,1,0,0,72,6,buggy
18,0.180108,0.006397,0.002567,0,0,0.000867,0.346518,0,0,0,4,0,0,0,0,8,0,0,32,9,clean
1,0.185114,0.003991,0.0024,4,0,0.00418,0.544254,2.04,0.002339,2,4,0.003466,0,1.01,0,12,0,0,47,6,buggy
1,0.070493,0,0,0,0,0,0.381441,0,0,0,1,0,0,0,0,3,0,0,0,4,clean
2,0.00663,0,0,0,0,0,0.107253,0,0,0,1,0,0,0,0,0,0,0,6,3,clean
0,0.014734,0.004188,0.003875,0,0,0,0.207289,0,0,0,3,0,0,0,0,5,0,0,70,11,clean
9,0.28815,0.004701,0.004147,0,0,0.004713,0.926008,0,0.002859,5,4,0,1.01,1.04,0,7,1,0.0023,78,15,clean
2,0.064252,0,0,2,0,0.00534,0.581607,0,0,0,1,0,0,0,0,0,0,0,0,6,buggy
1,0.013035,0,0,1,0,0,0.283314,0,0,0,1,0,0,0,0,5,1,0,0,10,clean
0,0.003711,0.001766,0,0,0,0,0.169334,0,0,0,1,0,0,0,0,2,0,0,6,4,clean
3,0.092507,0,0,1,0,0.002259,0.163456,0,0,0,1,0,0,0,0,0,0,0,6,0,clean
0,0.034364,0,0,0,0,0,0.200311,0,0,0,3,0,0,0,0,2,0,0,1,4,clean
10,0.06572,0.00074,0.000757,0,0,0.00065,0.500895,0,0,0,1,0,0,0,0,7,0,0,0,10,buggy
0,0.003397,0,0,0,0,0,0.096281,0,0,4,5,0,0,0,0,1,0,0,64,3,clean
4,0.008934,0,0,0,0,0,0.235653,0,0,0,2,0,0,0,0,0,0,0,29,2,clean
0,0.002287,0,0,1,0,0,0.097192,0,0,0,2,0,0,0,0,7,0,0,25,4,clean
0,0.014265,0,0.000752,0,0,0,0.353593,0,0,0,2,0,0,0,0,3,0,0,28,1,clean
0,0.00507,0,0,0,0,0,0.200409,0,0,1,3,0,0,0,0,2,0,0,13,3,clean
0,0.080818,0.004887,0.004435,0,0,0,0.420319,0,0,0,1,0,0,0,0,3,0,0,0,6,clean
1,0.012715,0.000558,0,0,0,0,0.364765,0,0,26,6,0,0,0,0,1,0,0,155,4,clean
0,0.004601,0,0,0,0,0,0.103073,0,0,1,2,0,0,0,0,1,0,0,15,5,clean
3,0.013772,0,0,0,0,0,0.11579,0,0,0,2,0,0,0,0,0,0,0,29,2,clean
9,0.261921,0.001766,0.001799,0,1,0.007477,0.574178,0,0,0,1,0,0,0,1,16,2,0,0,10,buggy
0,0.033219,0.001371,0,0,0,0,0.318039,0,0,4,3,0,0,0,0,2,0,0,21,3,clean
1,0.147133,0,0.002596,0,0,0.00408,0.266561,0,0,0,1,0,0,0,0,16,0,0,0,3,clean
11,0.465812,0,0.001697,0,0,0.010766,0.367558,0,0.000331,0,2,0,0,1.03,0,10,0,0,18,6,buggy
5,0.019203,0.001685,0,0,0,0.001697,0.249354,0,0.001986,0,3,0,0,1.01,0,5,0,0,21,7,clean
9,0.020726,0.00117,0,0,0,0,0.342488,0,0,0,1,0,0,0,0,2,0,0,6,5,clean
0,0.005899,0,0,0,0,0,0.14333,0,0,0,1,0,0,0,0,0,0,0,7,2,clean
4,0.007102,0,0,0,0,0,0.103073,0,0,0,1,0,0,0,0,0,0,0,0,9,clean
0,0.006435,0,0,6,0,0,0.107253,0,0,0,1,0,0,0,0,1,0,0,6,4,clean
0,0.005479,0,0,0,0,0,0.179163,0,0,62,4,0,0,0,0,2,0,0,55,8,clean
7,0.058272,0,0,0,0,0.00236,0.157739,0,0,0,4,0,0,0,0,3,0,0,39,7,clean
0,0.016234,0.001446,0,2,1,0,0.16399,0,0,0,1,0,0,0,0,0,1,0,0,9,clean
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,8,3,clean
0,0.000848,0,0,0,0,0,0.061715,0,0,0,1,0,0,0,0,2,0,0,6,2,clean
21,0.491876,0,0.00085,0,0,0.005772,0.842852,0,0.001986,2,5,0,0,1.01,0,9,2,0,73,5,clean
0,0.004761,0,0,1,0,0,0.110513,0,0,1,2,0,0,0,0,1,0,0,11,3,clean
0,0.003188,0,0,0,0,0,0.168539,0,0,0,1,0,0,0,0,1,0,0,7,2,clean
4,0.075287,0.00417,0.000264,0,0,0,0.472256,0,0,0,1,0,0,0,0,7,0,0,6,12,clean
2,0.055086,0.001423,0.000624,0,0,0,4.05042,0,0,13,5,0,0,0,0,2,0,0,80,10,clean
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,6,3,clean
0,0.002466,0,0,5,0,0,0.159804,2.02,0,0,2,0.000725,0,0,0,4,0,0,12,11,clean
0,0.022324,0,0,0,0,0,0.388401,0,0,0,1,0,0,0,0,0,0,0,6,1,clean
2,0.188985,0.015671,0.010194,0,0,0.000784,0.619785,0,0.009044,7,3,0,0,5.11,0,16,0,0,67,40,buggy
0,0.005187,0,0,0,0,0,0.060711,0,0,0,1,0,0,0,0,0,0,0,6,17,buggy
0,0.00243,0,0,0,0,0,0.118772,0,0,0,1,0,0,0,0,1,0,0,0,2,clean
0,0.000673,0,0,0,0,0,0.061715,0,0,0,1,0,0,0,0,2,0,0,0,2,clean
20,0.23486,0.003192,0.005603,0,0,0.010041,0.48637,0,0.001986,2,5,0,0,1.01,0,17,0,0,75,11,clean
0,0.030958,0.002033,0.002713,3,0,0,0.329447,0,0,4,3,0,0,0,0,1,0,0,55,5,clean
0,0.003447,0,0,0,0,0,0.187374,0,0,0,1,0,0,0,0,3,0,0,0,3,clean
0,0.001833,0,0.001053,0,0,0,0.08713,0,0,0,1,0,0,0,0,3,0,0,0,2,clean
0,0.127542,0.00402,0.001962,0,1,0.002408,0.436048,0,0,0,2,0,1.01,0,3,1,1,0.000983,11,2,buggy
9,0.007039,0,0,0,0,0,0.169334,0,0,0,2,0,0,0,0,1,0,0,29,3,clean
0,0.014835,0,0,0,0,0,0.209779,0,0,0,1,0,0,0,0,1,1,0,0,2,clean
0,0.019593,0.000807,0,0,0,0,0.165168,0,0,0,2,0,0,0,0,2,0,0,11,9,clean
0,0.002038,0,0,0,0,0,0.097192,0,0,0,2,0,0,0,0,5,0,0,25,5,clean
0,0.002332,0,0,0,0,0,0.030363,0,0,1,3,0,0,0,0,0,0,0,5,1,clean
3,0.020286,0,0,0,0,0,0.052586,0,0,13,5,0,0,0,0,8,0,0,80,7,clean
1,0.005385,0,0,0,0,0.00064,0.199447,0,0,0,1,0,0,0,0,1,0,0,0,3,clean
1,0.026911,0,0.000549,0,0,0.000511,0.434798,0,0,0,2,0,0,0,0,0,0,0,28,1,clean
6,0.045229,0.0007,0.001588,0,0,0.000784,0.231637,0,0.001986,2,5,0,0,1.01,1,4,1,0,72,10,clean
0,0.000175,0,0,0,0,0,0.061715,0,0,5,3,0,0,0,0,0,0,0,14,3,clean
0,0.000665,0,0,0,0,0,0.052586,0,0,0,6,0,0,0,0,0,0,0,20,2,clean
3,0.162209,0,0.002369,0,1,0.00399,0.604907,0,0,1,2,0,0,0,0,1,4,0,19,1,buggy
0,0.007966,0.00129,0,0,0,0,0.191213,0,0,0,2,0,0,0,0,0,0,0,13,1,buggy
0,0.002773,0,0,0,0,0,0.131568,0,0.001644,3,3,0,1.01,2.08,0,0,0,0.000742,33,1,clean
3,0.034433,0,0,0,0,0,0.157739,0,0,0,4,0,0,0,0,2,0,0,39,7,clean
0,0.008811,0.0007,0.000752,0,0,0,0.185277,0,0.001644,3,3,0,1.01,2.08,0,3,0,0.000742,33,6,clean
0,0.00346,0,0,0,0,0,0.203899,0,0,4,2,0,0,0,0,1,0,0,19,2,clean
1,0.002705,0,0,0,0,0,0.184482,0,0,0,1,0,0,0,0,1,0,0,0,2,clean
0,0.000857,0,0,0,0,0,0.06092,0,0,0,1,0,0,0,0,4,0,0,6,5,clean
1,0.006809,0,0,0,0,0,0.147342,0,0,0,1,0,0,0,1,2,0,0,8,6,clean
0,0.052834,0.002033,0,0,0,0,0.442344,0,0,23,4,0,0,0,0,5,1,0,88,15,clean
0,0.01252,0,0,0,0,0,0.203738,0,0,0,1,0,0,0,0,0,0,0,7,2,clean
11,0.021645,0.001113,0.000549,0,0,0.001212,0.176464,0,0,0,2,0,1.01,0,0,7,0,0.000259,15,15,clean
0,0.022347,0,0,0,0,0,0.117977,0,0.005456,28,6,0,0,2.17,0,1,0,0,262,7,clean
2,0.153476,0.003872,0,0,0,0.003014,0.396183,0,0,4,4,0,0,0,0,4,0,0,51,13,clean
0,0.005368,0,0,0,0,0,0.167057,0,0,0,2,0,0,0,0,1,0,0,18,5,clean
6,0.208845,0.00074,0.011762,0,0,0.007358,4.65711,0,0,0,1,0,0,0,0,12,0,0,0,3,buggy
1,0.019552,0,0,0,0,0,0.093944,0,0,13,5,0,0,0,0,1,0,0,80,9,clean
1,0.009209,0,0.00149,0,0,0,0.326155,0,0,0,2,0,2.02,0,0,1,0,0.003282,28,1,clean
0,0.000662,0,0,0,0,0,0.06092,0,0,4,9,0,0,0,0,2,0,0,176,2,clean
0,0.031643,0.002861,0.000549,4,0,0,0.439795,1.02,0,0,1,0.000498,0,0,0,2,0,0,14,6,clean
23,0.042076,0,0,0,0,0.000572,0.143516,0,0,0,1,0,0,0,0,1,0,0,6,13,clean
2,0.097936,0,0,0,0,0,0.098286,0,0,0,1,0,0,0,0,7,0,0,0,2,buggy
23,0.354262,0.001371,0.001985,0,0,0.004133,0.516434,0,0.000331,0,2,0,0,1.03,0,14,0,0,18,8,clean
1,0.061208,0,0.000997,0,0,0,0.282827,0,0,0,1,0,0,0,0,1,0,0,8,5,clean
0,0.004446,0,0.000835,0,0,0,0.198359,0,0.001986,8,6,0,0,1.01,0,0,0,0,103,1,clean
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,3,clean
1,0.001532,0,0,1,0,0,0.10365,0,0.001986,1,4,0,0,1.01,0,3,0,0,63,8,buggy
0,0.002586,0,0,0,0,0,0.169334,0,0,0,1,0,0,0,0,0,0,0,0,1,clean
0,0.10999,0,0,0,0,0,0.138856,0,0.00651,110,5,0,0,3.25,0,1,0,0,422,19,clean
0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,4,0,0,14,14,clean
0,0.008043,0.002009,0,2,0,0,0.134411,0,0,3,3,0,0,0,0,0,0,0,10,3,clean
0,0.041973,0.004823,0.002294,0,0,0,0.402685,0,0.000669,0,4,0,0,1.01,0,3,0,0,32,7,clean
8,0.090499,0,0.002328,0,0,0.002622,0.603103,0,0,0,1,0,0,0,0,5,1,0,0,4,clean
0,0.001749,0,0,0,0,0,0.097144,0,0,0,1,0,0,0,0,0,0,0,0,1,buggy
0,0.089864,0.008303,0.009629,2,0,0,0.667679,0,0.00239,17,4,0,0,2.02,2,9,1,0,122,20,clean
1,0.001318,0,0,1,0,0,0.094197,0,0.001986,1,4,0,0,1.01,0,3,0,0,62,7,clean
0,0.009855,0,0,0,0,0,0.277405,0,0,0,1,0,0,0,0,1,0,0,0,0,clean
1,0.003393,0,0,0,0,0,0.133715,0,0,4,2,0,0,0,0,4,0,0,13,1,clean
1,0.000624,0,0,1,0,0,0.061715,0,0,0,1,0,0,0,0,0,0,0,0,4,clean
0,0.002954,0,0,0,0,0,0.146586,0,0.001175,5,3,0,0,1.01,0,1,0,0,14,3,clean
0,0.002763,0,0,0,0,0,0.250493,0,0.00164,4,8,0,0,2.02,0,1,0,0,160,4,clean
1,0.012891,0.002103,0,0,0,0,0.103077,0,0,0,2,0,1.01,0,0,1,0,0.0023,29,6,clean
1,0.026894,0,0,0,0,0.002409,0.153661,0,0,6,5,0,0,0,0,1,0,0,71,5,clean
0,0.002137,0,0,0,0,0,0.146501,0,0,0,1,0,0,0,0,0,0,0,6,1,clean
0,0.038139,0.002033,0,0,1,0,0.225817,0,0,4,2,0,0,0,0,2,1,0,18,6,buggy
0,0.004398,0,0,0,0,0,0.168539,0,0.000295,4,1,0,0,1.01,0,5,1,0,11,6,clean
2,0.033736,0.007043,0.002686,1,0,0,0.450625,2.02,0.001237,2,2,0.001244,0,1.02,0,7,0,0,11,11,clean
6,0.175564,0,0.00149,0,0,0.001704,0.400439,0,0,0,1,0,0,0,1,4,0,0,6,4,buggy
4,0.318076,0.021797,0.006654,0,1,0.001617,0.682371,0,0,0,1,0,0,0,1,1,3,0,6,22,buggy
4,0.223226,0.002434,0.003431,2,0,0.007169,1.10863,2.03,0.001406,14,2,0.002354,0,1.03,1,1,2,0,9,7,buggy
