@relation PC1-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R7

@attribute ev(g) numeric
@attribute iv(G) numeric
@attribute L numeric
@attribute D numeric
@attribute I numeric
@attribute T numeric
@attribute lOComment numeric
@attribute locCodeAndComment numeric
@attribute lOBlank numeric
@attribute uniq_Op numeric
@attribute branchCount numeric
@attribute defects {false,true}

@data
1,1,0.09,11.23,38.38,268.74,0,0,2,13,1,false
1,1,0.4,2.5,38.4,13.33,16,0,8,5,1,false
1,1,0.67,1.5,5.33,0.67,1,0,2,3,1,false
1,3,0.08,12,65.33,522.65,1,0,6,16,11,false
1,1,0.11,9,7.57,34.06,0,0,0,8,3,false
1,1,0.17,6,14.33,28.65,0,0,1,9,1,false
1,4,0.08,13.18,28.49,274.89,0,0,1,9,7,false
1,1,0.36,2.75,34.1,14.33,16,0,7,5,1,false
1,3,0.04,27,9.76,395.31,0,1,0,14,5,false
3,3,0.13,8,13.67,48.62,0,0,0,10,5,false
3,4,0.04,23.86,15.17,479.84,0,0,3,15,9,false
1,1,0.21,4.65,260.82,313.62,0,0,7,4,1,false
1,3,0.08,13.33,13.51,133.4,0,0,0,12,5,false
7,2,0.05,21,15.48,379.25,0,0,1,15,15,false
1,1,0.12,8.33,16.82,64.9,1,0,0,10,3,false
8,1,0.04,25.5,15.12,546.04,0,0,2,15,15,false
1,3,0.08,12.6,15.57,137.35,0,0,0,12,5,false
6,1,0.05,21.12,8.51,211.07,0,0,1,13,13,false
1,1,0.12,8.33,16.82,64.9,1,0,0,10,3,false
1,1,0.15,6.75,12.73,32.22,0,0,1,9,1,false
1,1,0.33,3,9.51,4.75,0,0,0,6,1,false
1,1,0.05,18.97,67.6,1351.98,2,0,9,14,1,false
1,2,0.08,12.6,15.57,137.35,1,0,4,12,5,false
6,4,0.05,18.31,16.89,314.42,0,0,0,17,11,false
4,2,0.1,10,10.28,57.11,0,0,1,10,7,false
1,2,0.25,4,34.4,30.58,0,0,4,6,3,false
1,1,0.19,5.25,10.54,16.14,1,1,2,7,1,false
1,2,0.05,20.67,15.35,364.29,0,0,0,16,7,false
5,2,0.05,18.2,10.31,189.73,0,0,1,13,11,false
7,4,0.05,19,25.13,504.09,3,0,2,19,13,false
1,1,0.67,1.5,7.74,0.97,0,0,0,3,1,false
1,3,0.03,39.75,12.97,1138.33,1,0,1,15,13,false
1,2,0.13,7.5,11.2,35,0,0,1,10,3,false
1,2,0.12,8.67,11.86,49.5,0,0,0,8,3,false
1,2,0.05,20.67,15.35,364.29,0,0,0,16,7,false
3,3,0.04,23.21,10.61,317.71,0,0,2,13,11,false
6,3,0.09,10.63,70.03,439.5,10,2,2,12,11,false
1,2,0.05,20.67,15.35,364.29,0,0,0,16,7,false
5,1,0.04,22.4,8.91,248.46,0,0,1,14,11,false
1,5,0.09,11.51,65.97,485.87,10,5,2,13,9,false
1,2,0.08,12.6,15.57,137.35,1,0,4,12,5,false
1,5,0.05,19.25,13.02,268.03,1,0,0,11,9,false
6,5,0.03,29.75,7.15,351.49,0,0,2,14,13,false
7,4,0.05,18.91,36.07,716.84,0,0,2,15,13,false
1,1,0.13,7.71,30.49,100.81,3,1,5,9,3,false
1,3,0.04,26.81,11.3,451.45,1,0,0,13,13,false
17,3,0.02,46.1,28.02,3307.21,0,0,3,22,37,false
3,3,0.07,14.53,51.99,609.85,12,3,7,15,9,false
3,3,0.03,29.57,33.95,1649.46,55,1,17,23,15,false
1,3,0.02,40.13,29.83,2668.52,0,1,7,18,7,false
3,2,0.11,8.8,10.91,46.93,0,0,1,11,5,false
1,1,0.19,5.33,12.85,20.31,0,0,0,8,1,false
4,2,0.05,19.6,7.8,166.52,0,0,2,14,7,false
1,1,0.02,45,32.18,3620.57,0,1,7,15,11,false
6,2,0.05,21.85,12.67,336.13,0,0,1,19,11,false
1,1,0.5,2,9.83,2.18,0,0,0,4,1,false
6,2,0.04,25,11.97,415.72,0,0,1,20,11,false
1,7,0.04,25.74,33.06,1216.82,3,0,4,16,13,false
1,1,0.23,4.29,19,19.38,0,0,1,6,1,false
1,1,0.05,21,10.25,251.09,0,0,2,14,5,false
1,1,0.5,2,9.83,2.18,0,0,1,4,1,false
3,2,0.07,14.08,9.65,106.36,0,0,1,13,5,false
1,1,0.24,4.09,34.97,32.5,8,0,5,6,1,false
1,1,0.07,14.29,598.33,6789.18,0,0,1,6,1,false
3,2,0.11,8.75,9.57,40.72,0,0,1,10,5,false
1,1,0.11,8.89,18.85,82.76,3,1,4,8,3,false
1,1,0.23,4.29,18.13,18.5,0,0,0,6,1,false
1,1,0.04,28,11.47,499.46,0,0,1,14,9,false
1,1,0.33,3,21.04,10.52,1,0,2,4,1,false
1,1,0.14,7.33,15.91,47.54,2,0,1,11,1,false
1,1,0.21,4.67,16.65,20.15,0,0,1,7,3,false
9,1,0.03,31.5,9.47,521.87,0,0,2,15,17,false
1,1,0.29,3.43,25.23,16.47,1,0,2,4,1,false
1,1,0.19,5.25,10.54,16.14,1,1,2,7,1,false
1,1,0.07,15,14.41,180.08,0,0,2,12,7,false
1,1,2,0.5,4,0.06,0,0,1,1,1,false
1,1,0.67,1.5,7.74,0.97,0,0,0,3,1,false
1,1,0.15,6.67,17.2,42.48,0,0,0,10,3,false
1,2,0.07,15,4.54,56.76,0,0,0,10,5,false
1,13,0.05,18.78,63.69,1247.61,0,0,4,13,25,false
1,1,0.05,19.2,16.16,330.91,0,0,0,16,11,false
3,3,0.1,10,14.4,80,0,0,1,10,7,false
14,15,0.06,17.3,99.56,1655.12,0,0,5,19,29,false
1,1,0.12,8.17,13.14,48.69,0,0,2,7,5,false
6,5,0.05,20.46,19.75,459.44,0,0,1,14,19,false
1,1,0.09,10.71,44.78,285.56,0,0,3,6,1,false
1,2,0.08,12.31,19.34,162.76,0,0,1,16,3,false
1,1,0.1,10,13.9,77.21,3,0,2,10,1,false
3,2,0.03,29.33,27.36,1307.01,0,0,0,17,17,false
1,5,0.1,10.18,25.77,148.34,0,0,0,15,6,false
1,1,0.25,4,11.93,10.61,0,0,0,4,1,false
1,1,0,0,0,0,0,0,0,2,1,false
1,1,0.17,6,9.56,19.12,0,0,0,8,1,false
1,5,0.09,10.96,23.68,158.09,0,0,0,15,6,false
4,1,0.1,9.63,14.12,72.69,0,0,0,11,7,false
4,4,0.05,21.12,7.35,182.29,0,0,2,13,9,false
3,1,0.06,17.14,16.86,274.99,0,0,0,13,9,false
1,2,0.13,7.5,15.57,48.65,0,0,2,10,3,false
6,2,0.05,20,22.75,505.5,0,0,1,18,11,false
1,1,0.11,9,18.88,84.96,0,0,0,9,5,false
11,5,0.03,36.88,21.89,1653.85,1,0,2,25,20,false
1,1,0.67,1.5,12.06,1.51,0,0,0,3,1,false
1,1,0.67,1.5,7.74,0.97,0,0,0,3,1,false
1,1,0,0,0,0,0,0,0,1,1,false
1,1,0.14,7.07,18.67,51.86,0,0,0,9,1,false
1,1,0.16,6.43,16.53,37.96,0,0,1,10,1,false
1,1,0.04,23.27,14.3,430.34,1,0,1,16,7,false
1,1,0.17,6,14.33,28.65,0,0,1,9,1,false
1,4,0.05,18.2,31.59,581.27,0,0,3,14,9,false
1,1,0.17,6,6.5,13,0,0,0,6,3,false
1,5,0.01,82.8,36.82,14026.17,1,10,4,35,24,false
6,7,0.07,13.42,36.01,360.36,0,5,3,15,13,false
1,1,0.13,7.7,38.8,127.81,0,0,0,7,1,false
1,3,0.11,9.33,14.28,69.1,0,0,0,8,5,false
1,2,0.08,12.27,20.76,173.7,0,0,0,10,3,false
1,1,0.11,9,8.22,37,0,0,1,9,3,false
7,5,0.05,20.33,31.94,733.18,0,1,1,17,19,false
1,3,0.09,11.15,25.96,179.4,0,0,0,10,7,false
1,1,0.2,4.9,15.36,20.49,0,0,0,7,5,false
3,3,0.04,25.31,35.91,1278.41,0,0,2,15,21,false
1,1,0.33,3,15.5,7.75,0,0,1,5,1,false
3,2,0.06,18,13.35,240.37,0,0,1,18,5,false
1,1,0.16,6.3,22.25,49.06,0,0,1,9,1,false
1,1,0.24,4.2,14.51,14.22,0,0,1,7,3,false
5,5,0.04,24.08,24.71,796.08,0,1,2,17,9,false
1,1,0.08,12.44,13.45,115.71,0,0,1,14,5,false
3,2,0.05,20.94,28.86,703.28,0,0,2,13,13,false
1,1,0.14,7.2,10.58,30.46,0,0,1,9,3,false
3,2,0.09,11,22.75,152.93,0,0,1,15,5,false
17,30,0.05,21.38,179.17,4547.89,1,1,5,19,67,false
3,1,0.08,13.3,15.86,155.84,0,0,1,14,7,false
3,2,0.08,12.71,24.61,220.77,0,0,1,16,7,false
1,1,0.4,2.5,10.8,3.75,0,0,0,5,1,false
3,1,0.21,4.8,13.11,16.78,0,0,0,8,5,false
1,2,0.11,9.17,53.82,251.22,0,0,1,11,7,false
1,2,0.09,10.83,11.82,77.04,0,0,1,10,3,false
11,13,0.08,12.79,93.54,850.66,10,5,4,15,25,false
1,4,0.09,11.24,56.82,398.97,0,0,5,14,15,false
1,2,0.07,13.93,12.1,130.43,0,0,2,13,5,false
1,2,0.07,14.24,34.66,390.35,0,0,1,13,7,false
5,2,0.04,23.09,32.25,955.16,0,3,6,18,17,false
1,2,0.15,6.87,15.77,41.41,0,0,0,10,3,false
1,1,0.4,2.5,6.2,2.15,0,0,0,5,1,false
1,1,0.05,21,13.27,325.07,0,0,1,15,7,false
25,24,0.01,74.54,62.26,19216.15,0,0,1,38,107,false
3,1,0.06,18,10.49,188.87,0,0,1,14,5,false
6,3,0.04,23.38,15.38,466.84,0,0,1,17,11,false
1,1,0.05,20.39,27.21,628.21,1,0,3,23,9,false
1,1,0.07,14.54,25.24,296.26,0,0,1,11,9,false
1,1,0.05,21.75,43.14,1133.73,0,0,2,11,1,false
3,2,0.09,10.74,29.62,189.81,0,2,3,19,5,false
7,9,0.03,33.68,45.6,2873.1,1,2,1,28,20,false
1,14,0.08,12.86,46.4,426.1,0,0,0,18,15,false
4,2,0.04,22.73,16.12,462.89,1,0,1,20,11,false
1,1,0.16,6.13,7.91,16.48,0,0,2,7,3,false
1,1,0.05,21.53,21.83,562.26,0,0,2,17,7,false
1,3,0.07,14.3,16.12,183.28,0,0,1,13,9,false
1,1,0.33,3,16.61,8.3,0,0,0,6,3,false
5,1,0.16,6.29,18.02,39.57,0,0,0,8,9,false
1,1,0.5,2,9.83,2.18,0,0,0,4,1,false
1,1,0.09,11.67,13.96,105.55,0,1,1,14,5,false
1,1,0.29,3.5,12.29,8.36,0,0,0,7,1,false
8,1,0.02,46.06,31.42,3703.41,0,17,1,28,19,false
25,1,0.03,38.62,31.64,2621.31,0,0,5,13,49,false
1,1,0.4,2.5,13.2,4.58,0,0,2,4,1,false
1,3,0.05,21.72,11.9,311.98,0,0,1,17,7,false
1,1,0.09,11,16.21,109.03,0,0,1,11,7,false
1,3,0.11,9,25.87,116.4,0,0,0,9,5,false
1,1,0.33,3,13.84,6.92,0,0,0,6,1,false
6,3,0.03,32,25.12,1429.01,4,2,2,16,21,false
1,1,0.14,7,10.6,28.87,0,0,1,10,1,false
1,1,0.15,6.6,10.91,26.4,0,0,1,11,1,false
1,2,0.16,6.29,15.92,34.95,0,0,1,11,3,false
1,1,0.1,9.82,29.93,160.3,0,0,5,9,1,false
3,2,0.06,16.32,18.99,281.5,0,1,1,14,7,false
4,5,0.03,29.85,63.04,3121,7,0,7,21,11,false
1,1,0.09,10.8,26.75,173.32,0,0,5,9,1,false
18,18,0.02,54.89,56.51,9460.88,0,0,1,37,73,false
9,2,0.03,32.58,10.13,597.76,0,0,2,17,17,false
1,9,0.03,32.88,17.25,1036.34,0,0,4,15,19,false
7,1,0.04,24,11.15,356.75,0,0,2,16,15,false
1,4,0.07,14.34,20.4,233.15,24,1,6,17,9,false
5,1,0.05,20.4,8.42,194.56,0,0,1,12,9,false
3,2,0.05,20.67,18.37,435.8,3,0,3,20,13,false
1,1,0.17,6,10.75,21.51,0,0,1,8,3,false
1,1,0.21,4.67,17.95,21.72,0,0,1,8,4,false
1,1,0.05,18.33,6.02,112.46,0,0,1,11,5,false
1,1,0.5,2,11.63,2.58,0,0,0,3,1,false
11,20,0.03,29.05,104.65,4907.95,1,4,4,27,41,false
1,2,0.11,8.8,11.82,50.84,0,0,0,11,3,false
1,4,0.08,13.12,32.59,311.89,6,0,7,10,13,false
1,3,0.12,8.64,41.65,172.86,0,1,1,11,5,false
14,7,0.03,37.08,30.56,2334.49,0,2,2,25,33,false
1,2,0.04,23.18,15.61,466.13,0,0,1,15,9,false
5,2,0.04,25.38,18.18,650.84,0,0,1,15,11,false
4,1,0.08,12.28,17.8,149.05,0,0,1,13,7,false
3,1,0.04,25.5,30.72,1109.91,0,0,1,17,5,false
1,1,0.06,16.71,12.67,196.65,0,0,1,13,1,false
9,4,0.04,25.85,26.08,968,0,0,1,22,17,false
1,1,0.05,21.56,47.13,1216.8,0,0,1,19,7,false
1,1,0.06,15.82,16.59,230.56,6,0,4,12,5,false
3,3,0.08,11.85,18.06,140.82,0,0,1,14,7,false
1,1,0.14,7.33,11.15,33.31,0,0,7,11,3,false
6,4,0.04,26.4,46.98,1818.89,0,6,5,27,31,false
1,4,0.04,23.68,24.55,764.99,0,0,0,20,9,false
3,2,0.09,10.89,14.12,93.04,0,0,1,14,5,false
1,1,0.18,5.5,18.86,31.69,0,0,0,11,3,false
3,2,0.18,5.6,12.16,21.19,3,0,2,7,5,false
1,1,0.08,13.2,10.53,101.91,0,0,1,12,3,false
1,2,0.11,9,20.81,93.65,0,0,1,11,3,false
7,1,0.05,21.25,10.33,259.26,0,0,1,15,13,false
1,1,0.07,14,15.37,167.4,1,0,3,12,3,false
3,2,0.06,16.67,12.65,195.29,0,0,1,15,7,false
5,1,0.05,18.7,8.77,170.38,0,0,1,11,9,false
4,3,0.07,14.3,16.45,186.87,0,0,1,13,7,false
3,1,0.21,4.8,13.11,16.78,0,0,0,8,5,false
4,7,0.06,15.79,34.83,482.38,2,0,3,12,13,false
6,6,0.05,21.05,27.29,671.91,0,0,3,16,13,false
19,11,0.02,49.5,70.75,9631.1,0,0,5,33,69,false
3,2,0.05,19,10.4,208.64,0,0,2,14,7,false
1,1,0.16,6.43,15.9,36.5,0,0,1,10,3,false
1,1,0.16,6.13,12.99,27.07,0,0,0,7,1,false
1,1,0.14,7,15.88,43.22,0,0,0,7,1,false
1,1,0.1,10.13,8.77,49.96,0,0,1,9,1,false
3,2,0.1,10.21,11.85,68.67,0,0,1,13,5,false
1,2,0.19,5.14,17.11,25.14,0,0,0,9,3,false
4,2,0.02,46.93,16.21,1983.14,0,5,1,22,11,false
1,1,0.17,6,14.33,28.65,0,0,1,9,1,false
1,1,0.67,1.5,5.33,0.67,0,0,0,3,1,false
1,3,0.05,21.6,13.71,355.35,0,0,1,16,13,false
1,3,0.04,27.3,16.66,690.01,0,0,3,21,7,false
3,2,0.13,7.86,13.8,47.33,0,0,1,11,5,false
3,1,0.21,4.8,13.11,16.78,0,0,0,8,5,false
6,6,0.08,12.75,44.6,402.82,0,0,1,12,13,false
5,3,0.03,34.72,26.43,1770.39,1,0,4,25,21,false
1,4,0.12,8.5,20.34,81.64,0,1,0,10,7,false
1,2,0.07,15,4.54,56.76,0,0,0,10,5,false
1,9,0.03,30.94,19.57,1040.55,0,0,1,18,16,false
14,13,0.01,111.54,42.16,29141.6,1,4,1,50,41,false
1,2,0.06,16.5,16.95,256.39,0,0,1,18,3,false
7,9,0.04,28.33,49.32,2199.73,0,0,5,25,31,false
1,1,0.2,5,10.75,14.94,0,0,1,8,3,false
11,6,0.03,39.58,33.88,2949.56,0,0,3,25,37,false
3,1,0.05,19.25,8.52,175.48,0,0,1,11,9,false
1,1,0.08,13.33,6.38,63.04,0,0,1,10,5,false
1,1,0.19,5.25,11.86,18.16,0,0,1,7,3,false
1,1,0.04,24.38,6.88,226.94,0,0,1,13,7,false
5,1,0.06,16.5,9.45,143,0,0,2,12,11,false
1,1,0.12,8.33,12.48,48.15,0,0,1,10,3,false
6,1,0.01,101.06,7.74,4391.36,0,0,1,21,15,false
1,1,0.67,1.5,5.33,0.67,0,0,0,3,1,false
1,2,0.18,5.63,17.79,31.27,1,0,2,10,3,false
4,1,0.08,13.33,7.22,71.27,0,0,2,10,7,false
5,1,0.05,21,8.7,213.1,0,0,1,14,9,false
3,1,0.21,4.8,13.11,16.78,0,0,0,8,5,false
5,5,0.04,22.92,26.75,780.59,0,0,1,22,15,false
13,6,0.03,35.81,37.29,2657.46,0,0,1,23,35,false
