@relation 'ant-1.7_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1,4-5,7-9'

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
1,0,41,0.56,134,0.8,2,0,0.3,1,1,10.727273,4,1,0
6,0,6,0.125,143,1,0,0.953125,0.288889,5,18,14.777778,4,1.5556,0
4,0,6,1.166667,129,0.5,0,0.942308,1,3,5,30.75,5,2,0
3,0,34,0.625,177,1,1,0.761905,0.333333,1,3,18.555556,4,1.1111,0
1,0,282,0.919753,300,1,3,0,0.13961,0,0,9.285714,3,1.2857,0
1,1,39,0.555556,129,1,0,0,0.525,0,0,11.8,4,1.2,0
2,0,3,2,95,0,0,0.818182,0.666667,0,0,30.666667,2,1,0
3,0,528,0.947143,1006,1,0,0.513889,0.222222,2,2,26.388889,3,1.0833,0
3,0,69,0.669643,538,1,2,0.6,0.247619,2,8,34.333333,1,0.8,1
5,1,3,2,52,0,0,0.96875,0.555556,1,1,16.333333,3,1.6667,0
1,0,0,2,1,0,0,0,1,0,0,0,1,1,0
3,0,1,2,23,0,0,0.969697,1,0,0,10.5,1,0.5,0
5,0,39,0.607843,305,1,1,0.862903,0.268519,4,7,15.777778,4,1.2222,1
5,0,1,0.625,209,0.75,2,0.863636,0.342857,1,4,28.285714,9,2.5714,0
5,0,9,0.6,70,1,0,0.961538,0.4,1,2,10.5,1,0.5,0
3,0,48,0.583333,285,1,0,0.703704,0.355769,2,3,20.692308,1,0.6154,0
3,0,0,0.375,289,1,0,0.714286,0.179487,2,3,21.076923,4,2,0
2,0,2,0.666667,68,1,1,0.75,0.5,0,0,15.5,1,0.75,1
2,0,74,0.7875,461,1,5,0.53125,0.15625,1,1,25.823529,1,0.8824,1
1,0,41,0.891026,451,0.833333,2,0,0.24359,0,0,30.357143,3,1,0
2,0,3,2,185,0,0,0.882353,0.666667,1,2,60.666667,12,4.3333,0
1,0,0,2,1,0,0,0,1,0,0,0,1,1,0
1,0,0,0.555556,335,0.666667,1,0,0.642857,0,0,45.571429,9,3.2857,0
4,0,1,2,11,0,0,0.971429,0.75,1,1,4.5,1,0.5,0
5,0,4,0.25,107,1,0,0.903226,0.7,2,5,20.2,1,0.6,0
1,2,10,2,53,0,0,0,0.56,0,0,9.6,1,0.8,0
1,0,3,2,20,0,0,0,0.5,0,0,5.666667,2,1,0
1,3,82,0.733333,183,1,1,0,0.546875,0,0,10.0625,2,1,1
3,0,101,0.861345,519,0.928571,2,0.685185,0.194444,0,0,27.055556,7,1.5,1
3,0,1,0,49,1,1,0.9375,0.666667,0,0,14.333333,4,1.3333,0
2,1,3,2,250,0,0,0.9,0.555556,1,1,82.333333,9,3.3333,1
1,0,1,0.611111,104,1,0,0,0.342857,0,0,13.428571,3,1.1429,0
1,10,134,0.771739,1167,1,9,0,0.22619,0,0,44.76,29,4.68,1
3,2,61,0.857143,184,1,1,0.685185,0.388889,0,0,8.833333,1,0.9444,0
1,0,82,0.766667,297,1,0,0,0.210938,0,0,17.1875,8,2.125,0
3,0,3,2,25,0,0,0.8,0.666667,2,2,7.333333,1,0.6667,0
4,0,3,1,82,0,0,0.961538,1,2,4,26,3,1.6667,0
3,0,519,0.909091,807,1,3,0.536232,0.171429,0,0,21.742857,7,1.4,1
3,0,0,0.333333,46,1,0,0.727273,0.5,2,3,10.25,1,0.75,0
3,0,0,0,14,1,1,0.916667,0.666667,1,1,5.5,1,0.5,0
3,6,21,0.814815,146,1,1,0.692308,0.228571,1,2,13.3,1,0.8,0
4,0,21,2,103,0,0,0.945652,0.571429,3,5,13.714286,3,1.4286,0
2,0,3,1.25,82,0,0,0.666667,0.583333,1,2,25.666667,1,0.6667,0
4,0,2,0.666667,112,1,1,0.931818,0.5,1,1,26.5,4,2,0
1,0,6,0.666667,79,0,0,0,0.333333,0,0,18.25,2,1,0
2,2,0,0.363636,91,1,2,0.45,0.277778,1,1,6.416667,2,1,1
2,1,400,0.970588,1196,0.852941,2,0.516129,0.218638,1,5,35.3125,28,2.625,1
4,0,0,0,169,1,0,0.871795,0.305556,3,7,27,6,3.1667,0
1,1,0,0,298,1,0,0,0.36,0,0,28.7,6,2.6,0
1,0,0,2,1,0,0,0,1,0,0,0,1,1,0
4,0,213,0.738636,409,1,1,0.746479,0.194805,2,13,16.608696,6,1.9565,0
4,0,9,0.2,182,1,1,0.910714,0.357143,1,1,29.166667,3,1.5,1
1,0,3,0.576923,459,0.333333,0,0,0.267857,0,0,31.357143,6,2.7143,0
1,0,449,0.878446,1711,0.714286,3,0,0.178947,0,0,42.333333,13,2.5641,0
1,0,182,0.819444,515,1,1,0,0.179167,0,0,19.12,11,1.84,1
1,0,0,0.5,108,1,0,0,0.533333,0,0,20.2,3,1.4,0
4,0,0,0.866667,179,0.6,1,0.952381,0.5,0,0,42.5,6,2,1
2,1,75,0.75,402,1,0,0.578947,0.325926,1,1,25.533333,1,0.5333,1
4,0,181,0.715909,856,1,1,0.655738,0.227273,0,0,35.869565,5,1.2609,1
1,2,151,1.044118,386,0.125,0,0,0.152778,0,0,20,4,1.5,1
1,0,0,0.714286,305,0.25,0,0,0.9375,0,0,36.625,5,3,1
5,0,77,0.713235,331,1,3,0.636364,0.240741,2,8,16.944444,6,1.4444,0
3,2,222,0.937888,348,0.928571,3,0.616667,0.238095,0,0,12.916667,4,1.5417,0
2,0,9,1.05,160,1,0,0.864865,0.555556,2,3,25,4,1.8333,0
3,0,3,0.75,292,1,1,0.880952,0.333333,0,0,47,14,3.1667,1
4,0,0,0,53,1,0,0.962264,0.666667,1,1,16.333333,1,0.6667,0
3,0,3726,0.960246,2704,0.970588,11,0.291339,0.112476,2,2,28.021739,15,1.5543,1
3,6,3,0.4,46,1,0,0.857143,0.5,0,0,6.5,3,1.5,0
3,5,0,0,141,1,0,0.857143,0.314286,1,3,19,3,1.5714,0
2,0,8,0.5,216,1,0,0.884615,1,0,0,42,11,3.4,1
1,0,0,0,83,1,0,0,0.75,0,0,40,6,3,0
