@relation mydataframe
@attribute ck_oo_numberOfPrivateMethods numeric
@attribute LDHH_lcom numeric
@attribute LDHH_fanIn numeric
@attribute WCHU_numberOfAttributes numeric
@attribute CvsWEntropy numeric
@attribute LDHH_numberOfPublicMethods numeric
@attribute LDHH_numberOfPrivateAttributes numeric
@attribute CvsEntropy numeric
@attribute LDHH_numberOfPublicAttributes numeric
@attribute WCHU_numberOfPrivateMethods numeric
@attribute ck_oo_numberOfPublicAttributes numeric
@attribute ck_oo_noc numeric
@attribute numberOfCriticalBugsFoundUntil. numeric
@attribute ck_oo_wmc numeric
@attribute LDHH_numberOfPrivateMethods numeric
@attribute WCHU_numberOfPrivateAttributes numeric
@attribute CvsLogEntropy numeric
@attribute WCHU_noc numeric
@attribute LDHH_numberOfAttributesInherited numeric
@attribute ck_oo_fanOut numeric
@attribute ck_oo_numberOfAttributesInherited numeric
@attribute ck_oo_dit numeric
@attribute ck_oo_fanIn numeric
@attribute LDHH_noc numeric
@attribute WCHU_dit numeric
@attribute ck_oo_lcom numeric
@attribute ck_oo_rfc numeric
@attribute LDHH_wmc numeric
@attribute WCHU_fanOut numeric
@attribute WCHU_lcom numeric
@attribute ck_oo_numberOfAttributes numeric
@attribute numberOfHighPriorityBugsFoundUntil. numeric
@attribute ck_oo_numberOfPrivateAttributes numeric
@attribute numberOfMajorBugsFoundUntil. numeric
@attribute WCHU_numberOfPublicMethods numeric
@attribute LDHH_dit numeric
@attribute WCHU_numberOfMethodsInherited numeric
@attribute LDHH_fanOut numeric
@attribute ck_oo_numberOfMethodsInherited numeric
@attribute ck_oo_numberOfPublicMethods numeric
@attribute bug {'1','0'}
@data
0,0,0.000838,0,0.003978,0,0,7.95479,0,0,0,0,0,25,0,0,8.1394,0,0.001421,3,95,3,1,0,0,105,48,0,0,0,5,0,3,0,0,0,3.05,0,73,5,'0'
0,0,0,0,0.002208,0,0,4.07501,0,0,7,0,0,6,0,0,0.097153,0,0,1,0,1,3,0,0,10,11,0,0,0,7,0,0,0,0,0,1.01,0,8,5,'0'
3,0.006455,0.014496,0,0.023806,0.005213,0,2.31501,0,0,0,0,1,51,0,0,0.148766,0,0,9,0,1,11,0,0,66,86,0.007354,1.03,1.21,5,1,5,1,1.02,0,0,0.006522,8,9,'1'
0,0,0,0,0.005001,0,0,7.82832,0,0,0,0,0,1,0,0,8.08655,0,0.01888,0,74,6,2,0,0,0,2,0,0,0,2,0,0,0,0,0,10.15,0,56,1,'1'
1,0,0,0,0.002599,0,0,5.16293,0,0,1,0,0,4,0,0,0.128391,0,0,1,0,2,0,0,0,3,5,0,0,0,2,0,0,0,0,0,3.03,0,13,2,'0'
0,0,0.000838,0,0.003369,0,0,7.2883,0,0,0,0,1,11,0,0,0.177191,0,0.043647,2,384,6,0,0,1.02,21,14,0,0,0,1,0,0,1,0,0.001409,5.06,0,79,7,'0'
3,0,0,1.01,0.03009,0,0,23.3337,0,0,0,0,1,56,0,0,0.59501,0,0.016601,28,17,2,1,0,0,36,149,0.004559,3.03,0,4,0,0,5,0,0,2.02,0.002864,19,3,'0'
0,0,0,0,0.002208,0,0,4.07501,0,0,0,0,0,11,0,0,0.097153,0,0.043647,4,393,4,1,0,1.02,3,16,0,0,0,0,0,0,0,0,0.001409,2.02,0,61,3,'0'
1,0,0.001348,0,0.002208,0,0,4.07501,0,0,3,0,0,19,0,0,0.097153,0,0,1,0,1,3,0,0,15,13,0,0,0,3,0,0,0,0,0,1.01,0,8,5,'0'
0,0,0,0,0.00234,0,0,5.19438,0,0,0,0,0,4,0,0,0.123602,0,0.043647,1,386,6,1,0,1.02,6,11,0,0,0,0,0,0,0,0,0.001409,5.06,0,85,4,'0'
1,0,0.000902,0,0.00428,0,0,6.4938,0,0,0,0,0,11,0,0,0.151433,0,0.001421,1,7,2,3,0,0,6,7,0.000901,1.01,0,0,0,0,1,0,0,2.04,0.001096,17,3,'0'
0,0,0.000582,0,0.002208,0,0,4.07501,0,0,0,1,0,5,0,0,0.097153,0,0.001441,1,2,2,9,0,0,28,10,0,0,0,2,0,2,0,0,0,1.01,0,11,7,'1'
0,0,0.008103,0,0.003996,0,0,6.73444,0,0,2,2,0,12,0,0,8.07051,0,0.043647,3,385,6,5,0,1.02,15,17,0,0,0,2,0,0,0,0,0.001409,8.1,0,95,5,'0'
2,0,0.001429,1.01,0.17606,0,0.000251,18.7552,0,0,0,0,1,69,0,1.01,8.4173,0,0,8,0,1,11,0,0,91,109,0.009455,3.03,0,3,1,3,5,0,0,1.01,0.003095,8,12,'1'
0,0,0,0,0.002667,0,0,4.08525,0,0,5,0,0,29,0,0,0.096569,0,0,5,0,1,3,0,0,78,34,0,0,0,11,0,0,0,0,0,1.01,0,8,12,'0'
0,0.001051,0,0,0.009105,0.001756,0,5.86013,0,0,0,0,0,12,0,0,0.14368,0,0.042401,4,61,6,1,0,1.02,10,18,0.002314,2.03,1.04,0,0,0,0,1.01,0.001409,25.5,0.003379,207,4,'0'
0,0,0,0,0.002307,0,0,5.19438,0,0,0,0,0,4,0,0,0.123602,0,0.043647,1,387,3,1,0,1.02,1,7,0,0,0,0,0,0,0,0,0.001409,2.02,0,32,2,'0'
0,0,0,0,0.003856,0,0,8.4257,0,0,0,3,0,21,0,0,0.203937,0,0.043647,4,384,5,4,0,1.02,91,29,0,0,0,0,0,0,0,0,0.001409,4.05,0,77,14,'0'
0,0,0.002267,0,0.0083,0,0,8.43242,0,0,0,0,0,31,0,0,8.14429,0,0.001421,5,95,2,5,0,0,153,61,0,0,0,8,0,5,0,0,0,2.02,0,68,8,'0'
1,0.004498,0.014864,0,0.03342,0.001765,0,19.6881,0,1.01,1,1,2,103,0.001124,0,8.39314,0,0.021127,25,64,4,6,0,0,528,179,0.015405,3.06,5.22,3,2,0,3,2.02,0,7.19,0.004192,162,25,'0'
0,0,0,0,0.008181,0,0,10.696,0,0,0,0,0,14,0,0,0.251793,0,0.044485,4,397,5,1,0,1.02,3,24,0.000804,0,0,0,0,0,0,0,0.001409,5.07,0,94,3,'0'
2,0,0,0,0.002208,0,0,4.07501,0,0,0,0,0,56,0,0,0.097153,0,0,4,0,2,0,0,0,10,222,0,0,0,2,0,2,0,0,0,5.08,0,22,3,'1'
0,0,0.000582,0,0.003978,0,0,7.95479,0,0,0,0,0,9,0,0,8.1394,0,0.001421,2,95,3,2,0,0,36,19,0,0,0,1,0,1,0,0,0,2.02,0,75,1,'0'
0,0.00128,0,0,0.028248,0.001648,0,5.18843,0,0,2,0,0,43,0,0,0.123538,0,0.001421,2,8,2,1,0,0,496,68,0.001786,0,4.86,2,0,0,0,2.11,0,4.16,0,46,31,'0'
0,0,0,0,0.005113,0,0,9.21398,0,0,0,0,0,7,0,0,0.217711,0,0.043647,4,388,8,1,0,1.02,3,15,0.000694,1.02,0,0,0,0,0,0,0.001409,8.1,0.000687,109,3,'0'
0,0,0.002047,0,0.001796,0,0,5.26853,0,0,3,0,1,30,0,0,0.124448,0,0.043647,4,380,3,12,0,1.02,45,32,0,1.01,0,3,1,0,1,0,0.001409,2.02,0.001375,38,10,'0'
7,0.000726,0,0,0.040662,0.000978,0,11.7427,0,1.01,0,0,0,80,0.000747,0,8.21627,0,0,10,0,1,1,0,0,55,89,0.006889,2.03,1.19,1,0,1,0,1.01,0,1.01,0.001072,8,4,'1'
35,0.015742,0,0,0.189006,0.012242,0,38.6091,0.001692,1.01,3,0,0,316,0.008746,0,1.11559,0,0,17,0,2,1,0,0,780,405,0.025952,3.04,2.77,9,3,5,7,1.01,0,1.01,0.003379,11,5,'1'
1,0,0,0,0.002253,0,0,5.1154,0,0,1,0,0,10,0,0,0.121597,0,0,3,0,2,3,0,0,15,11,0,0,0,1,0,0,0,0,0,3.03,0,13,5,'0'
0,0,0,0,0.001963,0,0,4.07501,0,0,0,2,0,0,0,0,0.097153,0,0,0,0,1,6,0,0,10,5,0,0,0,5,0,0,0,0,0,1.01,0,8,5,'0'
0,0,0,0,0.00583,0,0,13.7206,0,0,2,2,0,48,0,0,0.321334,0,0.043647,10,413,5,1,0,1.02,36,49,0.002575,0,0,2,0,0,0,0,0.001409,6.08,0,84,9,'0'
0,0,0,0,0.007274,0,0,3.9771,0,0,0,0,0,10,0,0,0.094053,0,0.043647,3,415,6,0,0,1.02,15,16,0,0,0,0,0,0,0,0,0.001409,6.08,0,93,6,'0'
1,0,0,0,0.004627,0,0,7.6074,0,0,2,0,0,10,0,0,0.191561,0,0,2,0,1,1,0,0,6,11,0,0,0,2,0,0,0,0,0,1.01,0,8,3,'0'
1,0,0.001049,1.01,0.037024,0,0,22.6963,0.002662,0,3,1,0,53,0,0,8.48332,1.01,0.044485,10,397,5,2,0.001203,1.02,15,74,0.019024,5.05,0,3,1,0,1,0,0.001409,5.07,0.004801,94,5,'0'
0,0,0.000798,1.01,0.004112,0,0,6.5762,0.002702,0,1,0,0,1,0,0,8.04965,0,0,0,6,4,2,0,0,1,2,0,0,0,1,0,0,0,0,0,2.04,0,25,1,'0'
0,0,0,0,0.002208,0,0,4.07501,0,0,0,0,0,5,0,0,0.097153,0,0,2,1,3,3,0,0,3,6,0,0,0,3,0,3,0,0,0,1.01,0,31,3,'0'
0,0,0,0,0.003978,0,0,7.95479,0,0,0,0,0,13,0,0,8.1394,0,0.001421,2,95,3,2,0,0,55,27,0,0,0,3,0,2,0,0,0,3.05,0,73,2,'0'
1,0,0,0,0,0,0,0,0,0,3,0,0,18,0,0,0,0,0,0,0,1,1,0,0,45,27,0,0,0,3,0,0,0,0,0,0,0,8,9,'0'
1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,8,1,'0'
0,0.000876,0.001034,0,0.012221,0,0.001356,10.492,0,0,0,0,0,15,0,1.01,8.17295,0,0,8,0,1,7,0,0,36,40,0.002064,3.03,1.08,4,1,1,1,1.01,0,1.01,0.003784,8,7,'0'
16,0.036037,0.029889,2.04,1.05979,0.043532,0.003798,43.7616,0,7.1,1,1,5,1033,0.009341,2.04,9.10871,0,0.001366,36,4,2,129,0,0,81003,2603,0.064146,5.07,269.6,5,1,4,15,30.53,0,2.02,0.007957,13,387,'1'
1,0,0,0,0.003281,0,0,3.9771,0,0,4,0,0,31,0,0,0.094053,0,0,3,0,1,2,0,0,36,24,0.001073,0,0,5,0,0,0,0,0,1.02,0,16,8,'0'
1,0.000746,0,0,0.010644,0,0,4.59811,0,1.01,1,0,0,27,0.000742,0,0.10563,0,0.040328,3,388,3,1,0,1.02,6,11,0.00159,1.01,1.03,1,0,0,0,0,0.001409,4.04,0.000909,33,3,'0'
0,0.021215,0,4.09,0.014482,0,0,9.68336,0,0,0,1,0,12,0,0,8.18146,0,0,1,0,1,1,0,0,45,11,0.031014,1.01,4.44,11,2,0,0,0,0,1.01,0.009162,8,0,'1'
0,0.002527,0.013898,1.01,0.225936,0.003141,0.000465,21.3966,0,0,1,0,0,100,0,1.01,8.46243,0,0.001421,9,95,2,15,0,0,666,120,0.003176,1.01,5.6,16,1,12,0,3.07,0,2.02,0.001119,68,21,'0'
0,0.00187,0,0,0.012912,0.003315,0,11.9865,0,0,0,1,2,34,0,0,0.280853,0,0.004526,19,69,6,3,0,0,78,67,0.003473,4.05,3.42,0,0,0,2,4.05,0,14.36,0.003592,216,10,'0'
0,0,0.000838,0,0.003978,0,0,7.95479,0,0,0,0,0,14,0,0,8.1394,0,0.001421,1,95,3,1,0,0,66,28,0,0,0,3,0,2,0,0,0,3.05,0,73,3,'0'
0,0,0,0,0.004827,0,0,7.96225,0,0,4,0,0,15,0,0,0.185241,0,0,5,8,2,1,0,0,3,17,0.000901,0,0,4,0,0,0,0,0,2.03,0,19,3,'0'
0,0,0.00301,0,0.002208,0,0,4.07501,0,0,0,3,0,7,0,0,0.097153,0,0.001421,1,95,2,4,0,0,21,8,0,0,0,1,0,1,0,0,0,2.02,0,68,5,'0'
0,0,0,0,0.002208,0,0,4.07501,0,0,0,0,0,7,0,0,0.097153,0,0,4,0,2,1,0,0,10,12,0,0,0,4,0,4,0,0,0,1.01,0,22,4,'0'
18,0.003589,0,1.01,0.049836,0,0,11.7544,0.002746,1.02,9,0,0,112,0.004268,0,8.18128,0,0,14,0,1,3,0,0,210,163,0.006746,1.01,1.43,9,1,0,0,0,0,1.01,0.000957,8,3,'0'
0,0,0,0,0.009872,0,0,3.93934,0,0,0,0,0,2,0,0,0.107598,0,0.030346,0,23,3,1,0,0,1,3,0.0021,1.06,0,1,0,1,0,0,0,2.04,0.002449,28,2,'0'
11,0.006518,0,1.01,0.008206,0,0.018394,2.38886,0,1.01,1,0,0,155,0.008746,1.01,0.227298,0,0,29,0,1,2,0,0,91,138,0.038903,1.01,1.13,18,1,17,2,0,0,0,0.012709,8,3,'1'
1,0.002958,0.012564,0,0.04972,0.004148,0,14.7371,0,0,0,4,0,34,0,0,8.28197,0,0.004526,13,52,5,11,0,0,45,82,0.006138,2.05,2.17,1,1,0,1,1.01,0,11.24,0.003931,161,5,'0'
2,0,0,0,0.005503,0,0,8.15196,0,0,2,0,0,20,0,0,0.193382,0,0,9,19,2,0,0,0,21,49,0,0,0,3,0,0,0,0,0,1.01,0,15,0,'0'
0,0,0,0,0.002208,0,0,4.07501,0,0,0,0,0,2,0,0,0.097153,0,0.043647,1,400,5,1,0,1.02,1,4,0,0,0,0,0,0,0,0,0.001409,4.04,0,65,2,'0'
2,0,0,1.01,0.041246,0,0.001127,7.96959,0,0,1,0,1,32,0,1.01,8.18353,0,0,14,0,1,0,0,0,6,59,0.002583,1.01,0,6,1,5,2,0,0,0,0.001149,9,2,'0'
0,0.000779,0,0,0.045571,0.000905,0,17.5763,0,0,2,0,0,37,0,0,8.3382,0,0.043647,8,384,5,1,0,1.02,55,70,0.003205,0,1.1,2,0,0,0,1.01,0.001409,4.05,0,77,11,'0'
0,0.001132,0.00143,4.13,0.065683,0.001198,0,14.9914,0.001768,0,5,4,1,108,0,0,0.369907,0,0.011059,11,125,1,18,0,0,351,92,0.006505,2.02,1.26,16,0,0,2,1.01,0,1.01,0.001989,8,24,'1'
0,0,0,0,0.002253,0,0,5.1154,0,0,0,0,0,41,0,0,0.121597,0,0,1,0,1,1,0,0,820,45,0,0,0,1,0,1,0,0,0,1.01,0,8,41,'0'
0,0,0,0,0.005336,0,0,2.26443,0,0,0,0,0,7,0,0,0.055192,0,0,3,1,3,1,0,0,6,9,0,0,0,5,0,5,0,0,0,0,0,31,4,'0'
0,0.001008,0.007238,0,0.004646,0.001642,0,5.26021,0,0,0,0,0,8,0,0,0.128392,0,0,2,0,1,10,0,0,15,12,0.001592,1.01,1.09,2,0,0,0,1.02,0,1.01,0.001237,10,6,'0'
0,0,0,0,0.002208,0,0,4.07501,0,0,0,0,0,9,0,0,0.097153,0,0,0,0,1,0,0,0,45,10,0,0,0,1,0,0,0,0,0,1.01,0,15,9,'0'
0,0.000779,0.001605,1.01,0.005282,0.000905,0,6.4938,0,0,2,1,0,12,0,0,0.151433,0,0,2,0,1,5,0,0,15,19,0.000901,0,1.09,3,0,0,1,1.02,0,1.01,0,8,6,'0'
0,0.001497,0.001016,0,0.069347,0.001692,0,27.6825,0,0,2,1,1,77,0,0,8.5986,0,0.043647,16,384,4,4,0,1.02,105,89,0.012517,5.05,2.3,2,0,0,1,2.02,0.001409,5.06,0.00478,69,13,'0'
0,0,0,0,0.007059,0,0,2.38353,0,0,0,0,0,29,0,0,0.069509,0,0,7,6,2,0,0,0,190,47,0.001824,1.04,0,2,0,2,0,0,0,0,0.001955,30,19,'0'
0,0,0,1.02,0.01731,0,0,2.22103,0.000608,0,6,0,0,31,0,0,0.067924,0,0,3,0,1,3,0,0,15,34,0.002455,1.01,0,9,0,1,1,0,0,0,0.001961,8,6,'0'
0,0,0,0,0.002208,0,0,4.07501,0,0,0,3,0,3,0,0,0.097153,0,0.043647,0,384,5,0,0,1.02,3,3,0,0,0,0,0,0,0,0,0.001409,5.06,0,76,3,'0'
1,0,0,0,0.015428,0,0,19.225,0,0,2,0,0,20,0,0,8.38432,0,0.043647,9,384,4,1,0,1.02,15,32,0.003576,2.02,0,2,0,0,0,0,0.001409,5.06,0.003849,69,5,'0'
0,0,0,0,0.008386,0,0,3.76811,0,0,0,0,0,10,0,0,0.094968,0,0,5,12,3,1,0,0,10,17,0,0,0,1,0,1,0,0,0,2.06,0,45,2,'0'
0,0.000958,0.001644,1.01,0.006903,0,0.001356,6.85444,0,0,0,0,0,8,0,1.01,0.168806,0,0,2,10,3,1,0,0,6,16,0.001959,0,1.03,1,0,1,1,0,0,4.06,0,59,1,'0'
2,0.00699,0.001034,0,0.364933,0.009297,0,34.6202,0,0,3,0,0,138,0,0,8.88345,0,0.043647,14,384,4,11,0,1.02,210,139,0.072562,2.03,2.57,3,0,0,3,2.03,0.001409,5.06,0.004757,69,19,'1'
0,0.003658,0.009051,0,0.02239,0.000862,0,12.1917,0,0,0,1,0,16,0,0,8.18775,1.01,0.004526,6,52,4,7,0.01184,0,55,31,0.007141,4.1,3.41,2,0,0,0,1.02,0,9.16,0.007502,127,9,'0'
0,0,0,0,0.001968,0,0,2.71087,0,0,1,0,0,6,0,0,0.061787,0,0,0,0,2,1,0,0,6,12,0,0,0,1,1,0,1,0,0,1.01,0,11,3,'0'
1,0,0.000855,0,0.002208,0,0,4.07501,0,0,1,0,0,3,0,0,0.097153,0,0,1,1,2,2,0,0,1,5,0,0,0,1,0,0,0,0,0,2.02,0,18,1,'0'
0,0.006446,0.012802,0,0.002661,0,0,2.27131,0,0,0,0,0,20,0,0,0.134373,0,0,5,62,5,1,0,0,78,22,0.013308,1.01,1.12,1,1,0,0,0,0,1.01,0.006522,202,8,'0'
7,0.001467,0.001845,0,0.060005,0.000978,0,22.3224,0,1.02,0,0,0,74,0.000827,0,8.5032,0,0,19,0,1,6,0,0,325,150,0.005885,2.07,2.72,4,1,4,3,1.01,0,1.01,0.002733,8,16,'1'
0,0,0,0,0.002208,0,0,4.07501,0,0,0,0,0,8,0,0,0.097153,0,0,3,0,2,1,0,0,15,11,0,0,0,5,0,5,0,0,0,1.01,0,24,5,'0'
0,0.007457,0,0,0.020517,0.011451,0,13.175,0,0,1,0,0,22,0,0,8.23097,0,0.001073,2,19,3,1,0,0,231,25,0.011357,0,5.12,1,0,0,1,4.06,0,5.05,0,27,22,'0'
0,0,0,0,0.002208,0,0,4.07501,0,0,0,0,0,10,0,0,0.097153,0,0,3,0,2,1,0,0,28,15,0,0,0,7,0,7,0,0,0,1.01,0,26,8,'0'
0,0.000794,0.011005,0,0.007576,0.001029,0,9.59103,0,0,0,1,0,7,0,0,8.14107,1.01,0.004526,2,69,7,3,0.01184,0,15,12,0.001929,0,1.05,1,1,1,0,1.01,0,10.33,0,298,5,'0'
0,0,0,0,0.002208,0,0,4.07501,0,0,2,0,0,6,0,0,0.097153,0,0.043647,4,397,6,1,0,1.02,6,17,0,1.01,0,3,0,1,0,0,0.001409,3.03,0.000909,72,4,'0'
0,0,0,0,0.002208,0,0,4.07501,0,0,0,0,0,3,0,0,0.097153,0,0.028601,1,219,2,1,0,0,1,3,0,0,0,0,0,0,0,0,0,6.09,0,55,2,'1'
0,0,0,0,0.007897,0,0,10.9499,0,0,1,0,0,33,0,0,8.16645,0,0,9,0,1,1,0,0,28,57,0,0,0,1,0,0,2,0,0,1.01,0,8,1,'0'
0,0,0,0,0.004983,0,0,7.48389,0,0,0,0,0,0,0,0,8.13527,0,0,0,204,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.01,0,8,0,'1'
0,0.001969,0,3.03,0.018248,0.002351,0.00057,10.4506,0,0,1,0,0,19,0,1.01,8.14963,0,0.002293,0,2,2,1,0,0,136,18,0.003088,0,3.58,15,0,1,1,3.04,0,6.08,0,41,17,'0'
0,0,0,1.01,0.036552,0,0,15.218,0.001692,0,0,1,1,47,0,0,0.37431,0,0.043647,6,385,6,0,0,1.02,21,20,0.001866,1.01,0,1,0,0,1,0,0.001409,5.06,0.000996,79,7,'0'
2,0,0.000838,0,0.04414,0,0,15.8578,0,0,3,0,1,43,0,0,8.3084,0,0,11,0,1,1,0,0,10,62,0.01,1.01,0,3,2,0,4,0,0,1.01,0.009162,8,3,'1'
1,0.006829,0.005554,0,0.031025,0.000919,0,15.7424,0,2.03,0,3,0,29,0.006371,0,8.29536,0,0.004526,15,53,6,3,0,0,91,61,0.010128,3.11,3.58,0,2,0,1,1.01,0,13.26,0.009426,170,10,'1'
2,0.000741,0,0,0.146333,0.001815,0,19.5457,0,1.01,0,0,3,179,0.000936,0,0.481707,0,0.043647,14,415,6,1,0,1.02,91,289,0.002552,1.01,1.25,0,0,0,3,2.03,0.001409,7.1,0.000996,117,12,'0'
1,0.010463,0.003782,5.05,0.105157,0.012404,0.01004,26.7583,0.003092,1.01,14,0,4,79,0.000616,4.05,8.61032,0,0,28,0,1,8,0,0,231,168,0.015758,5.15,8.02,21,3,7,6,6.12,0,1.01,0.013789,8,21,'1'
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.041451,0,384,3,1,0,1.02,1,5,0,0,0,0,0,0,0,0,0.001409,2.02,0,31,2,'0'
0,0,0.00158,1.01,0.058088,0,0,21.1473,0.002035,0,2,0,3,34,0,0,8.42302,0,0.043647,11,380,3,2,0,1.02,21,46,0.002933,3.03,0,2,1,0,3,0,0.001409,2.02,0.00355,38,7,'0'
0,0,0,0,0.005734,0,0,6.70304,0,0,0,0,0,11,0,0,8.10942,0,0.043647,5,385,6,2,0,1.02,10,24,0.010781,1.01,0,0,0,0,0,0,0.001409,8.1,0.012709,95,4,'0'
0,0,0,0,0.002274,0,0,5.19438,0,0,0,0,0,43,0,0,0.123602,0,0,10,0,1,3,0,0,10,36,0,0,0,1,0,1,0,0,0,1.01,0,8,5,'0'
0,0,0,0,0.001644,0,0,2.36846,0,0,0,0,0,1,0,0,0.058891,0,0,0,0,1,3,0,0,6,5,0,0,0,0,0,0,0,0,0,1.01,0,8,4,'0'
0,0,0.004735,1.01,0.007594,0,0,5.68889,0.000501,0,5,1,0,12,0,0,0.137409,1.01,0,4,1,2,2,0.000547,0,15,18,0.000925,2.02,0,5,0,0,0,0,0,1.01,0.002117,12,6,'0'
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,54,5,3,0,0,1,3,0,0,0,1,1,1,0,0,0,0,0,138,2,'0'
0,0.000958,0.002396,0,0.020252,0.001307,0,8.63149,0,0,0,0,0,38,0,0,8.1599,0,0.001421,5,95,3,2,0,0,171,72,0.001959,0,1.18,10,0,6,0,1.01,0,3.05,0,73,9,'0'
0,0,0,1.01,0.005237,0,0.003665,8.16696,0,0,0,0,0,24,0,1.01,8.09127,0,0,2,0,1,12,0,0,3,11,0.003885,1.01,0,18,1,18,0,0,0,1.01,0.00073,8,3,'0'
0,0,0,0,0.002401,0,0,5.25685,0,0,0,0,1,8,0,0,0.125004,0,0,8,18,2,1,0,0,6,29,0.000901,2.04,0,0,1,0,3,0,0,4.04,0.010258,62,2,'0'
0,0,0,0,0.009504,0,0,11.3437,0,0,1,0,0,11,0,0,8.2043,0,0.01888,11,67,5,1,0,0,3,25,0,2.02,0,1,1,0,1,0,0,10.15,0.001465,47,2,'0'
0,0.002366,0,1.02,0.027554,0.003812,0,7.05208,0,0,0,1,0,13,0,0,0.178617,0,0,1,0,1,3,0,0,45,21,0.002685,0,2.3,2,0,0,1,2.04,0,1.01,0,8,10,'0'
0,0,0,0,0.003865,0,0,5.59671,0,0,0,0,0,18,0,0,8.07898,0,0.001421,3,96,4,1,0,0,78,41,0,0,0,4,0,2,0,0,0,4.06,0,88,2,'0'
1,0.000934,0,0,0.013749,0,0,8.7196,0,0,0,0,0,16,0,0,8.11095,0,0.001105,8,28,4,3,0,0,28,35,0.000954,0,1.07,0,0,0,1,0,0,4.1,0,91,2,'0'
2,0.002333,0,1.04,0.031872,0,0,19.7948,0.000689,1.01,3,0,1,166,0.000703,0,0.498183,0,0.046138,33,427,3,1,0,1.02,1176,262,0.010108,2.04,4.87,8,1,0,1,0,0.001409,10.17,0.001601,96,16,'1'
1,0,0,0,0.002208,0,0,4.07501,0,0,3,0,0,14,0,0,0.097153,0,0,1,0,1,1,0,0,6,10,0,0,0,3,0,0,0,0,0,1.01,0,8,3,'0'
0,0,0,0,0.004427,0,0,5.08455,0,0,0,0,0,44,0,0,8.02862,0,0,0,0,1,1,0,0,946,45,0,0,0,20,0,20,0,0,0,1.01,0,28,44,'0'
0,0.001736,0.000731,1.01,0.061578,0.002219,0,18.513,0.000389,0,5,0,2,47,0,0,8.39701,0,0.03492,7,55,5,1,0,1.02,45,70,0.014776,4.05,3.29,5,0,0,4,3.03,0.001409,19.37,0.011659,171,10,'0'
0,0,0.001348,1.01,0.045916,0,0,17.3722,0,0,2,1,0,93,0,0,8.37081,0,0,6,0,1,10,0,0,120,122,0.003445,1.01,0,10,0,2,0,0,0,1.02,0.004327,16,13,'0'
0,0,0.00099,0,0.002538,0,0,6.55162,0,0,1,0,0,4,0,0,0.157424,0,0.041456,0,37,3,8,0,1.02,1,2,0.001104,0,0,2,0,1,0,0,0.001409,7.13,0,72,2,'0'
3,0,0.001999,0,0.067892,0,0,12.8587,0,0,0,0,0,50,0,0,8.33843,0,0,18,0,1,5,0,0,10,85,0.007439,2.02,0,4,2,4,0,0,0,1.01,0.005272,8,2,'0'
1,0.000726,0,0,0.045519,0,0,16.6898,0,0,0,0,2,113,0,0,0.440872,0,0.050455,15,133,2,1,0,0,153,220,0.005585,2.02,1.17,2,1,2,4,0,0,6.13,0.001567,46,2,'1'
1,0,0,0,0.008246,0,0,11.1327,0,0,1,0,0,19,0,0,8.1664,0,0,13,0,1,2,0,0,15,67,0,2.02,0,1,0,0,0,0,0,1.01,0.00225,8,5,'0'
38,0.037056,0.032155,24.53,0.639434,0.030021,0.028741,46.3868,0.019454,12.29,31,0,8,489,0.016753,12.15,9.25656,0,0,61,0,1,70,0,0,7381,1026,0.108317,15.32,77.6,97,8,35,25,17.31,0,1.01,0.025768,8,74,'1'
0,0,0,0,0.004282,0,0,6.84846,0,0,0,0,0,23,0,0,8.10896,0,0.001421,4,95,3,1,0,0,78,39,0,0,0,6,0,4,0,0,0,2.02,0,73,4,'0'
0,0.000958,0,0,0.019474,0.001307,0,8.63149,0,0,0,0,0,38,0,0,8.1599,0,0.001421,6,95,3,1,0,0,171,72,0.001959,0,1.18,10,0,6,0,1.01,0,3.05,0,73,9,'0'
0,0.000537,0.008412,0,0.007436,0.001069,0.000699,11.3038,0.000882,0,1,0,0,9,0,1.01,8.19167,0,0.043647,3,388,5,3,0,1.02,10,14,0.007596,0,1.04,2,0,1,0,1.01,0.001409,7.09,0,78,5,'0'
0,0.006455,0,0,0.007783,0,0,1.67023,0,1.02,0,0,0,7,0.007391,0,0.086247,0,0,3,0,1,3,0,0,3,13,0.007354,1.01,1.07,2,1,2,0,0,0,0,0.006522,8,3,'0'
0,0,0,0,0.002208,0,0,4.07501,0,0,3,0,0,10,0,0,0.097153,0,0.028601,2,219,2,1,0,0,3,7,0,0,0,3,0,0,0,0,0,6.09,0,55,3,'0'
13,0.000617,0.000731,1.01,0.22605,0,0.00022,10.7103,0,1.06,4,0,0,133,0.000481,1.01,0.270568,0,0,16,0,1,6,0,0,903,273,0.005446,1.01,3.37,12,1,5,1,0,0,1.01,0.00069,8,30,'0'
0,0,0,0,0.005462,0,0,6.60309,0,0,0,0,0,10,0,0,0.168035,0,0,2,0,1,9,0,0,6,10,0,0,0,5,0,0,0,0,0,1.01,0,8,4,'0'
