@relation mydataframe
@attribute v.g. numeric
@attribute ev.g. numeric
@attribute iv.g. numeric
@attribute l numeric
@attribute d numeric
@attribute i numeric
@attribute e numeric
@attribute lOComment numeric
@attribute lOBlank numeric
@attribute locCodeAndComment numeric
@attribute uniq_Opnd numeric
@attribute total_Opnd numeric
@attribute bug {'1','0'}
@data
5,3,3,0.09,11.63,29.78,4029,2,4,3,19,26,'0'
4,1,1,0.13,7.5,16.14,908.35,0,2,0,6,10,'0'
2,1,2,0,0,0,0,0,0,0,0,0,'0'
2,1,2,0,0,0,0,0,0,0,0,0,'0'
2,1,2,0,0,0,0,0,0,0,0,0,'0'
2,1,2,0,0,0,0,0,0,0,0,0,'0'
5,1,5,0,0,0,0,0,0,0,0,0,'0'
8,1,8,0.05,21.99,114.58,55385.94,0,10,0,70,171,'0'
23,1,5,0.02,40.62,34.59,57091.13,31,14,3,24,75,'0'
3,1,3,0.1,10.05,23.28,2348.96,0,4,0,11,17,'0'
4,3,3,0.03,28.59,18.5,15119.13,0,7,0,11,37,'0'
6,1,2,0.03,37.33,17.91,24965.37,0,8,0,9,42,'0'
7,1,7,0,0,0,0,0,0,0,0,0,'0'
1,1,1,0,0,0,0,0,2,0,0,0,'0'
2,1,2,0.1,9.75,41.03,3900.82,0,1,0,22,33,'0'
2,1,2,0.19,5.23,33.59,919.01,0,3,1,13,17,'0'
3,1,3,0.09,11.05,35.37,4316.4,0,3,0,21,29,'0'
5,1,5,0.07,14.69,41.74,9005,0,4,0,24,47,'0'
2,1,2,0.19,5.33,12.85,365.51,0,2,0,6,8,'0'
3,1,3,0.11,9.33,35.75,3114.24,0,2,0,18,28,'0'
6,1,6,0.05,21.06,71.26,31595.26,0,7,0,44,109,'0'
8,1,2,0.01,80.5,19.77,128096.15,0,1,0,17,119,'0'
1,1,1,0.2,5,20,500,0,1,0,8,10,'0'
1,1,1,0.5,2,9.83,39.3,0,0,0,3,3,'0'
4,1,2,0,0,0,0,0,0,0,0,0,'0'
4,1,2,0,0,0,0,0,0,0,0,0,'0'
6,1,3,0,0,0,0,0,0,0,0,0,'0'
10,5,6,0,0,0,0,0,0,0,0,0,'0'
3,3,2,0,0,0,0,0,0,0,0,0,'0'
12,5,7,0,0,0,0,0,0,0,0,0,'0'
3,3,2,0,0,0,0,0,0,0,0,0,'0'
4,1,2,0,0,0,0,0,0,0,0,0,'0'
11,1,11,0,0,0,0,0,0,0,0,0,'0'
4,1,4,0.09,11.55,35.24,4700.82,0,2,0,20,33,'0'
6,1,4,0,0,0,0,0,0,0,0,0,'0'
1,1,1,0,0,0,0,0,0,0,0,0,'0'
1,1,1,0,0,0,0,0,0,0,0,0,'0'
1,1,1,0,0,0,0,0,0,0,0,0,'0'
1,1,1,0,0,0,0,0,0,0,0,0,'0'
1,1,1,0,0,0,0,0,0,0,0,0,'0'
24,3,23,0.02,58.68,72.98,251248.42,4,20,0,51,285,'0'
1,1,1,0.29,3.5,14.34,175.66,0,0,0,5,5,'0'
1,1,1,0.67,1.5,5.33,12,0,0,0,1,1,'0'
1,1,1,0.4,2.5,9.6,60,0,0,0,3,3,'0'
3,1,3,0.08,12.67,16.99,2726.17,9,8,0,9,19,'0'
20,19,3,0.04,24.75,46.87,28708.71,18,9,0,28,77,'0'
5,4,2,0.03,30.07,32.4,29289.98,0,2,0,15,41,'0'
39,36,19,0.02,58.54,62.01,212465.05,6,9,6,41,240,'0'
3,1,1,0.33,3,13.74,123.63,2,2,1,3,3,'0'
11,7,3,0.03,33.33,28.93,32145.31,8,9,0,21,70,'0'
9,7,2,0.04,23.29,25.32,13740.44,7,7,0,17,44,'0'
4,1,3,0.08,12.83,19.78,3257.4,0,4,0,12,22,'0'
6,1,5,0.06,17.33,46.53,13978.29,1,9,1,30,65,'0'
2,1,2,0.16,6.22,21.02,813.86,0,2,0,9,14,'0'
4,3,3,0.12,8.41,32.58,2304.99,4,0,0,17,26,'0'
4,4,3,0.12,8.41,32.58,2304.99,0,4,0,17,26,'0'
2,1,2,0.14,7,15.23,746.24,0,1,0,7,14,'0'
3,1,2,0.07,14.22,14.69,2972.07,0,1,0,9,16,'0'
12,7,6,0.02,40.89,29.13,48707.23,5,4,1,27,92,'0'
12,5,8,0.02,49.71,26.05,64375.11,0,5,0,28,96,'0'
16,5,10,0.02,55.98,41.76,130847.79,2,7,0,41,170,'0'
18,3,8,0.02,61.58,33.18,125808.34,12,9,3,31,166,'0'
6,6,3,0.08,12.95,35.2,5901.23,0,2,3,19,41,'0'
6,6,3,0.08,11.92,35.47,5036.51,0,2,3,18,39,'0'
9,8,5,0.05,21.62,27.29,12754.41,4,2,0,17,49,'0'
11,11,1,0.03,36.4,9.39,12446.39,7,1,0,5,28,'0'
1,1,1,0.29,3.5,11.77,144.23,0,1,0,2,2,'0'
13,8,5,0.02,58.08,25.51,86030.58,14,10,6,20,101,'0'
9,1,7,0.03,35.24,29.95,37191.62,0,1,2,21,74,'0'
7,6,4,0.04,23.75,21.33,12033,0,6,0,16,38,'0'
2,1,2,0.22,4.5,16.73,338.78,0,1,0,6,9,'0'
9,1,7,0.03,31.67,24.86,24927.66,0,1,2,18,57,'0'
11,1,8,0.03,36.23,26.77,35128,0,8,2,20,69,'0'
9,4,7,0.03,40,13.98,22374.62,1,10,0,8,40,'0'
6,5,3,0.03,33.15,33.56,36868.91,0,2,1,17,49,'0'
10,3,8,0.02,40.71,29.8,49402.7,1,18,0,21,90,'0'
6,5,3,0.03,30.44,33.92,31429.12,0,2,1,17,45,'0'
3,3,1,0.06,16.25,10.98,2899.21,0,4,0,6,15,'0'
3,3,1,0.07,15,11.12,2501.96,0,4,0,6,15,'0'
4,1,2,0.06,16.67,17.59,4887.48,0,3,0,12,25,'0'
3,1,1,0.06,15.81,31.87,7969.79,19,8,3,16,46,'0'
7,6,4,0.03,30,19.16,17246.5,0,6,0,14,42,'0'
15,1,12,0.02,55.24,34.38,104904.71,0,4,2,31,137,'0'
12,8,7,0.04,22.5,39.5,19997.14,15,4,2,25,75,'0'
16,12,6,0.02,44,22.4,43374.74,0,4,0,19,76,'0'
4,1,4,0.07,13.56,23.16,4259.18,0,4,0,16,31,'0'
5,1,4,0.05,19.66,19.76,7634.85,0,4,0,16,37,'0'
5,1,4,0.05,19.66,19.76,7634.85,0,4,0,16,37,'0'
4,1,2,0.08,13.2,15.54,2707.77,0,3,0,10,22,'0'
4,1,2,0.1,10.45,17.23,1881.89,3,4,0,10,19,'0'
6,4,1,0.02,44,18.47,35757.69,31,8,2,15,60,'0'
3,1,3,0.09,11.33,15.11,1941.4,3,4,1,9,17,'0'
2,1,1,0.14,7,10.24,501.89,0,1,0,5,10,'0'
24,6,16,0.01,84,31.56,222659.18,4,14,3,26,168,'0'
6,5,3,0.03,31.12,33.69,32624.36,0,2,1,17,46,'0'
1,1,1,0.19,5.4,12.81,373.62,0,2,0,5,9,'0'
6,1,6,0.03,32.45,24.1,25372.2,6,7,0,20,59,'0'
5,1,1,0.04,27.44,14.79,11137.18,16,5,2,9,38,'0'
5,1,1,0.05,20,17.59,7037.23,11,8,0,12,32,'0'
6,1,4,0.03,32.88,20.9,22606.59,15,9,0,13,57,'0'
3,3,1,0.07,14,11.62,2276.78,0,2,0,6,14,'0'
11,11,6,0.04,27.5,43.5,32898.67,17,23,7,34,85,'0'
13,11,6,0.03,31.2,67.8,66012.64,16,29,0,49,139,'0'
3,1,1,0.06,18,15.86,5137.27,2,3,0,10,30,'0'
9,8,5,0.05,21.62,27.29,12754.41,4,2,0,17,49,'0'
12,4,4,0.02,41.35,20.5,35061.82,0,3,0,17,74,'0'
1,1,1,0.38,2.67,19.93,141.74,9,1,0,6,8,'0'
3,1,3,0.08,12.92,19.5,3256.73,2,3,0,13,24,'0'
35,9,25,0.03,32.72,114.59,122715.58,4,15,0,80,238,'0'
1,1,1,0.35,2.86,21.33,174.13,0,2,0,7,8,'0'
1,1,1,0.11,8.95,93.84,7522.84,16,9,9,43,70,'0'
1,1,1,0.5,2,9.83,39.3,0,0,0,3,3,'0'
2,1,2,0.19,5.14,54.38,1438.42,0,10,0,21,24,'0'
7,1,5,0.12,8.4,82.9,5849.27,1,19,1,40,48,'0'
5,1,5,0.15,6.53,41.5,1770.16,6,9,0,16,19,'0'
7,1,4,0.11,8.75,52.55,4023.51,0,6,1,26,35,'0'
1,1,1,0.4,2.5,22.14,138.38,0,1,1,6,6,'0'
6,5,4,0,0,0,0,0,0,0,0,0,'0'
7,6,5,0.14,6.93,56.49,2716.59,16,12,0,23,29,'0'
2,1,2,0.24,4.12,50.11,849.57,13,5,0,17,20,'0'
3,1,3,0.17,5.73,59.98,1968.9,1,12,2,24,25,'0'
9,6,6,0.04,22.85,19.52,10186.59,4,6,3,13,33,'0'
13,5,2,0,0,0,0,0,0,0,0,0,'0'
6,1,4,0.07,13.87,24.61,4733,2,2,0,15,32,'0'
1,1,1,0.11,8.71,24.93,1890.85,0,1,0,12,19,'0'
3,1,2,0.06,17.94,24.87,8007.67,9,5,0,18,38,'0'
5,1,2,0.07,13.36,38.56,6884.13,7,5,1,18,37,'0'
1,1,1,0.5,2,9.83,39.3,0,0,0,3,3,'0'
5,1,3,0.06,18.13,17.05,5601.85,0,3,0,12,29,'0'
5,1,3,0.06,18.13,17.31,5688.03,0,3,0,12,29,'0'
1,1,1,0.22,4.5,19.46,394.06,0,3,0,7,9,'0'
1,1,1,0.67,1.5,7.74,17.41,0,0,0,2,2,'0'
13,1,1,0.11,9.36,40,3504.5,0,12,0,25,26,'0'
3,1,1,0.07,13.71,13.94,2621.58,0,2,0,7,16,'0'
10,10,1,0.04,27.82,19.53,15111.7,1,2,0,11,36,'0'
10,10,1,0.04,25.45,20.73,13434.72,1,2,0,11,35,'0'
4,1,4,0.05,19.91,58.68,23271.64,8,8,0,35,82,'0'
1,1,1,0.5,2,9.83,39.3,0,0,0,3,3,'0'
1,1,1,0.67,1.5,5.33,12,0,0,0,1,1,'0'
1,1,1,0.5,2,9.83,39.3,0,0,0,3,3,'0'
3,1,1,0.07,14.17,15.53,3117.77,4,1,0,9,17,'0'
2,1,2,0.09,11.28,35.91,4567.5,1,2,0,18,29,'0'
1,1,1,0.5,2,9.83,39.3,0,0,0,3,3,'0'
1,1,1,0.5,2,9.83,39.3,0,0,0,3,3,'0'
5,3,3,0.06,15.44,31.78,7574.5,3,2,0,16,38,'0'
10,1,1,0.14,7.37,36.28,1969.97,0,9,0,19,20,'0'
10,1,1,0.13,7.5,37.61,2115.83,0,9,0,20,20,'0'
11,1,1,0.02,44.2,15.17,29633.41,6,4,2,10,52,'0'
11,1,1,0.03,37.6,16.37,23152.49,6,4,2,10,47,'0'
4,1,2,0.06,17.64,21.16,6585.82,0,4,0,14,26,'0'
9,1,1,0.13,7.41,32.75,1799.25,0,8,0,17,18,'0'
7,3,5,0.06,17.6,52.72,16332.07,4,5,0,30,66,'0'
13,1,1,0.1,9.88,40.34,3937.56,0,12,0,25,26,'0'
1,1,1,0.67,1.5,5.33,12,0,1,0,1,1,'0'
2,1,2,0.11,9.18,33.15,2791.73,2,2,0,17,24,'0'
4,3,1,0,0,0,0,0,0,0,0,0,'0'
4,3,1,0.14,7.07,17.1,855.13,0,1,0,7,9,'0'
10,6,1,0,0,0,0,0,0,0,0,0,'0'
1,1,1,0.38,2.67,9.47,67.38,0,1,0,3,4,'0'
39,10,4,0,0,0,0,0,0,0,0,0,'0'
1,1,1,0.5,2,9.83,39.3,0,0,0,3,3,'0'
1,1,1,0.5,2,9.83,39.3,0,0,0,3,3,'0'
3,1,3,0.08,12.38,32.24,4937.75,0,5,1,16,33,'0'
12,1,12,0,0,0,0,0,0,0,0,0,'0'
4,1,1,0.08,11.92,11.32,1607.39,0,2,0,6,13,'0'
2,1,2,0.12,8.31,28.92,1998.64,2,3,0,16,19,'0'
1,1,1,0.5,2,5.8,23.22,0,0,0,1,1,'0'
2,1,1,0.11,9.33,7.47,651.1,0,0,0,3,8,'0'
7,6,6,0.04,28.18,25.49,20249.24,1,7,0,19,51,'0'
4,1,2,0.06,17.85,13.32,4243.74,0,2,0,10,21,'0'
8,7,2,0.06,18,22.63,7330.89,1,3,4,15,36,'0'
11,8,4,0.04,25.91,29.55,19838.83,1,7,0,22,57,'0'
4,3,3,0.06,16.07,31.85,8225.71,0,4,0,21,45,'0'
3,3,1,0.06,16.5,10.9,2967.5,0,2,0,6,18,'0'
1,1,1,0,0,0,0,0,0,0,0,0,'0'
7,7,1,0.08,13.06,15.28,2607.96,0,1,0,8,19,'0'
11,4,4,0.03,33.5,24.07,27015.74,0,5,0,23,67,'0'
1,1,1,0.67,1.5,5.33,12,0,0,0,1,1,'0'
7,7,1,0.08,13.06,15.28,2607.96,0,1,0,8,19,'0'
1,1,1,0.38,2.67,9.47,67.38,0,1,0,3,4,'0'
6,6,1,0.06,16,10.16,2602.03,0,1,0,6,16,'0'
14,11,3,0,0,0,0,0,0,0,0,0,'0'
9,6,3,0.04,25.88,23.59,15796.57,1,5,0,16,46,'0'
8,8,3,0.03,28.58,20.9,17071.41,0,3,0,18,49,'0'
13,9,4,0.02,47.62,22.16,50238.11,1,7,0,21,80,'0'
3,1,1,0.07,14,10.05,1969.07,0,2,1,5,14,'0'
9,8,2,0.05,21.25,26.07,11771.7,1,5,2,18,45,'0'
6,5,3,0.03,30.44,33.74,31267.11,0,2,1,17,45,'0'
1,1,1,0.67,1.5,5.33,12,0,0,0,1,1,'0'
8,1,8,0,0,0,0,0,0,0,0,0,'0'
3,1,2,0.07,13.72,16.57,3120.86,0,2,0,9,19,'0'
7,5,3,0.05,22.17,10.33,5077.55,10,3,0,6,19,'0'
1,1,1,0.29,3.5,13.32,163.12,0,0,0,5,5,'0'
1,1,1,0.33,3,13.84,124.54,0,0,0,5,5,'0'
1,1,1,0.29,3.5,13.32,163.12,0,0,0,5,5,'0'
1,1,1,0.5,2,9.83,39.3,0,0,0,3,3,'0'
1,1,1,0.12,8.25,25.84,1759,0,1,0,8,22,'0'
4,1,2,0.08,13.22,17.11,2990.58,0,0,0,9,17,'0'
3,1,3,0.04,22.75,13.33,6898.74,2,1,0,8,26,'0'
1,1,1,0.29,3.5,10.44,127.89,0,0,0,3,3,'0'
13,5,3,0.01,70.78,14.37,71963.33,12,1,8,9,98,'0'
6,1,5,0.12,8.31,33.31,2298.87,6,6,0,13,27,'0'
2,1,2,0.08,12,18.56,2672.31,0,1,0,7,21,'0'
2,1,2,0.21,4.67,15.07,328.11,0,1,0,6,8,'0'
3,1,2,0.09,11.67,35.03,4767.69,0,2,11,15,35,'0'
3,1,3,0.04,23.6,38.16,21255.67,3,10,3,25,59,'0'
1,1,1,0.33,3,9.51,85.59,0,0,0,3,3,'0'
6,1,5,0.06,17.33,55.25,16599.68,12,10,4,36,78,'0'
6,1,4,0.07,14.29,33.66,6868.61,8,10,0,21,40,'0'
32,1,32,0.02,41.84,70.38,123225.04,0,5,1,73,149,'0'
9,1,5,0.04,22.67,30.09,15459.98,0,1,0,18,68,'0'
3,1,3,0.07,13.59,25.88,4781.57,4,6,0,16,29,'0'
1,1,1,0.29,3.5,16.32,199.89,0,1,0,7,7,'0'
9,3,4,0.04,22.55,17.93,9112.09,1,3,1,11,31,'0'
1,1,1,0.15,6.75,12.06,549.52,0,1,0,4,6,'0'
5,1,1,0.05,19.5,19.49,7409.59,3,8,0,10,30,'0'
4,1,3,0.09,10.66,31.23,3546.85,0,2,0,16,31,'0'
3,1,2,0.13,7.85,24.27,1493.89,0,2,0,13,17,'0'
5,1,1,0.06,17.33,15.93,4786,0,1,0,6,16,'0'
1,1,1,0.25,4,14.34,229.44,0,1,0,4,4,'0'
5,3,3,0.17,5.83,15.86,539.65,0,0,0,6,10,'0'
4,1,4,0.1,9.75,25.85,2457.09,0,0,0,14,21,'0'
1,1,1,0.11,9,25.95,2101.64,3,4,0,9,18,'0'
10,9,7,0.05,22,47.99,23226.57,0,5,0,35,70,'0'
6,4,3,0.07,15.3,32.24,7547.57,0,4,0,20,34,'0'
2,1,1,0.1,9.63,15.75,1459.35,3,3,2,8,11,'0'
3,1,2,0.11,9,18.73,1517,0,3,0,8,12,'0'
2,1,1,0.11,9.29,14.43,1244.1,8,3,0,7,10,'0'
4,1,2,0.09,11.65,28.63,3883.17,0,4,0,17,22,'0'
2,1,1,0.11,9.29,14.43,1244.1,8,4,0,7,10,'0'
5,5,1,0.08,12.1,11.57,1694,0,1,0,5,11,'0'
3,3,3,0.13,8,22.51,1440.68,0,0,0,9,12,'0'
5,5,3,0.07,14.3,18.66,3816.53,0,0,0,10,22,'0'
1,1,1,0.19,5.25,14.14,389.71,0,1,0,6,7,'0'
6,3,4,0.05,18.75,20.47,7195.88,0,3,0,14,35,'0'
1,1,1,0.3,3.3,29.09,316.8,0,0,0,10,11,'0'
2,1,1,0.11,9.33,7.47,651.1,0,0,0,3,8,'0'
3,1,1,0.11,9,16.85,1364.59,0,0,0,10,15,'0'
1,1,1,0.67,1.5,5.33,12,0,2,0,1,1,'0'
1,1,1,0.44,2.29,24.22,126.52,0,1,0,7,8,'0'
1,1,1,0.4,2.5,7.86,49.13,0,0,0,2,2,'0'
15,5,4,0.03,33.8,152.84,174659.71,20,55,0,92,311,'0'
3,3,2,0.11,9,17.34,1404.72,11,1,0,10,15,'0'
11,8,7,0.04,25.78,26.25,17442.08,9,3,0,18,58,'0'
1,1,1,0.28,3.6,14.41,186.81,0,1,0,5,6,'0'
2,1,1,0.4,2.5,15.6,97.5,0,0,0,3,3,'0'
13,10,7,0.02,53.63,45.65,131272.91,6,12,0,40,165,'0'
2,1,2,0.3,3.33,9,100,0,0,0,3,4,'0'
3,1,3,0.06,16,22.91,5865.77,2,4,0,15,30,'0'
3,3,1,0.11,9.5,21.25,1918.13,0,4,0,14,19,'0'
5,5,3,0.04,24.28,12.67,7469.56,0,3,0,9,23,'0'
3,3,2,0.07,14.32,17.07,3499.69,0,2,0,11,21,'0'
5,5,2,0.05,20.19,11.96,4874.89,0,3,0,8,19,'0'
19,19,10,0.05,21.23,26.72,12044.99,5,3,0,15,49,'0'
29,9,11,0.03,37.02,80.44,110222.71,0,13,0,59,208,'0'
26,7,6,0.03,39.59,62.64,98194.91,0,17,0,48,181,'0'
38,9,7,0.02,46.47,71.84,155154.34,0,21,0,54,239,'0'
63,51,34,0.01,86.83,80.97,610442.12,22,18,0,94,371,'0'
40,32,27,0.01,74.48,71.03,394039.12,29,24,0,87,288,'0'
67,51,30,0.01,91.11,79.04,656061.17,16,15,0,92,381,'0'
2,1,2,0.33,3,26.65,239.86,6,3,0,8,8,'0'
3,1,3,0.09,10.77,149.62,17352.67,14,11,10,78,120,'0'
9,1,6,0.03,30.52,144.02,134112.42,55,34,18,93,258,'0'
14,1,11,0.05,18.85,56.73,20149.31,4,16,1,39,70,'0'
16,5,16,0.04,25.25,69.11,44063.84,26,24,3,56,101,'0'
1,1,1,0,0,0,0,0,0,0,0,0,'0'
1,1,1,0,0,0,0,0,0,0,0,0,'0'
6,1,4,0.05,19.2,22.71,8370.61,0,3,0,15,36,'0'
1,1,1,0.27,3.75,6.74,94.75,0,0,0,2,3,'0'
2,1,1,0.09,10.91,22.81,2714.14,3,3,0,11,20,'0'
1,1,1,0,0,0,0,0,0,0,0,0,'0'
1,1,1,0,0,0,0,0,0,0,0,0,'0'
5,4,3,0.05,18.27,37.88,12641.82,1,8,0,26,50,'0'
3,1,3,0.07,14.67,20.96,4509.45,0,1,0,9,22,'0'
2,1,2,0.4,2.5,24.38,152.36,0,1,0,7,7,'0'
5,1,5,0.09,11.54,26.56,3536.48,0,2,0,13,25,'0'
1,1,1,0.27,3.75,6.74,94.75,0,0,0,2,3,'0'
1,1,1,0.27,3.75,6.74,94.75,0,0,0,2,3,'0'
5,3,1,0.03,30,12.56,11307.84,3,1,0,4,24,'0'
33,19,12,0,0,0,0,0,0,0,0,0,'0'
1,1,1,0.27,3.75,6.74,94.75,0,0,0,2,3,'0'
2,1,1,0.09,10.91,22.81,2714.14,3,3,0,11,20,'0'
1,1,1,0.27,3.75,6.74,94.75,0,0,0,2,3,'0'
2,1,2,0.33,3,24.11,217.02,0,0,0,8,8,'0'
19,14,4,0,0,0,0,0,0,0,0,0,'0'
5,1,2,0.05,19.93,16.81,6676.07,0,4,0,14,31,'0'
6,1,2,0.05,20.12,20.14,8151.94,0,4,0,17,38,'0'
9,5,7,0.04,26.21,41.98,28833.81,9,5,0,29,80,'0'
1,1,1,0.3,3.33,17.64,196.03,0,0,0,6,8,'0'
9,4,3,0.04,25,26.25,16407.07,0,4,0,17,50,'0'
6,1,3,0.06,17.47,29.76,9080.33,1,1,0,16,43,'0'
2,1,1,0.08,12,6.92,996.58,0,0,0,2,6,'0'
1,1,1,0.67,1.5,10.84,24.38,0,0,0,2,2,'0'
8,4,8,0.06,15.72,56.56,13984.32,2,3,0,29,76,'0'
3,1,3,0.19,5.18,34.71,931.94,0,0,0,11,19,'0'
12,8,7,0.04,24.38,31.2,18543.67,8,3,0,21,64,'0'
8,5,6,0.05,19.64,32.9,12694.01,9,3,1,21,55,'0'
10,6,6,0.04,27.23,42.91,31823.25,8,6,0,32,83,'0'
12,10,5,0.03,30,23.61,21247.32,0,4,0,19,57,'0'
6,1,1,0,0,0,0,0,0,0,0,0,'0'
5,5,2,0.08,12.8,28.25,4629.2,0,3,0,15,24,'0'
2,1,2,0.33,3,16.73,150.57,0,0,0,6,6,'0'
6,1,3,0,0,0,0,0,0,0,0,0,'0'
5,1,2,0,0,0,0,0,0,0,0,0,'0'
6,1,3,0,0,0,0,0,0,0,0,0,'0'
10,3,2,0.03,30.18,22.79,20749.34,17,6,0,17,54,'0'
2,1,1,0.08,12.35,19.05,2905.03,0,3,0,10,19,'0'
2,1,1,0.06,16.14,19.14,4991.44,3,2,0,10,19,'0'
12,4,6,0.03,29,59.13,49731.22,14,13,0,38,116,'0'
2,1,2,0.1,10,16.76,1675.86,0,0,0,7,14,'0'
5,3,1,0.1,10,15.94,1594.11,0,0,0,7,14,'0'
2,1,1,0.17,6,11.95,430.2,0,2,0,4,6,'0'
2,1,1,0,0,0,0,0,0,0,0,0,'0'
6,1,5,0.05,19.5,20.46,7778.39,0,0,0,12,39,'0'
1,1,1,0.11,9,6.15,498.16,0,3,0,2,4,'0'
1,1,1,0.11,9,16.91,1369.93,0,2,1,5,15,'0'
2,1,2,0.14,7,15.77,772.89,0,2,0,7,14,'0'
2,1,2,0.14,7,15.77,772.89,0,2,0,7,14,'0'
1,1,1,0.67,1.5,7.74,17.41,0,0,0,2,2,'0'
2,1,2,0.14,7,15.77,772.89,3,3,0,7,14,'0'
3,1,3,0.09,11.72,67.17,9233.05,0,3,0,29,68,'0'
21,7,12,0.04,24.03,66.98,38670.93,7,14,1,52,119,'0'
1,1,1,0.13,8,21.37,1367.74,0,1,0,9,16,'0'
7,3,1,0,0,0,0,0,0,0,0,0,'0'
4,1,1,0,0,0,0,0,0,0,0,0,'0'
2,1,2,0.11,9.43,14.42,1281.66,0,1,0,7,11,'0'
4,4,1,0.13,7.5,15.63,879.05,0,2,0,6,10,'0'
2,1,1,0.28,3.6,16.34,211.72,0,0,0,5,6,'0'
1,1,1,0.67,1.5,7.74,17.41,0,0,0,2,2,'0'
6,1,3,0.09,10.67,18.94,2155.16,0,4,1,9,16,'0'
5,1,1,0.05,19.71,12.28,4773.46,2,2,0,7,23,'0'
1,1,1,0.29,3.43,20.51,241.06,0,3,0,7,8,'0'
1,1,1,0.15,6.82,31.77,1477.06,0,1,0,11,25,'0'
15,10,7,0.02,50.25,19.8,50002.82,6,2,3,14,67,'0'
2,1,2,0,0,0,0,0,0,0,0,0,'0'
5,3,1,0,0,0,0,0,0,0,0,0,'0'
4,3,1,0,0,0,0,0,0,0,0,0,'0'
6,1,1,0.05,19.73,18.83,7328.85,3,5,0,11,31,'0'
6,1,1,0.05,19.73,18.83,7328.85,3,5,0,11,31,'0'
6,1,3,0.03,29.33,17.26,14847.96,0,1,3,9,33,'0'
1,1,1,0.19,5.25,9.88,272.43,0,0,0,4,6,'0'
3,1,2,0.12,8.36,12.92,902.57,0,1,0,7,13,'0'
1,1,1,0.4,2.5,6.2,38.77,0,0,0,1,1,'0'
6,5,2,0,0,0,0,0,0,0,0,0,'0'
2,1,2,0.18,5.63,22.34,706.74,0,1,0,8,15,'0'
3,3,3,0.11,9.39,23.27,2051.59,0,0,0,9,13,'0'
5,3,2,0.06,15.68,16.79,4127.84,0,3,0,11,23,'0'
7,7,3,0.09,11.14,23.04,2861.08,0,3,0,14,24,'0'
14,5,5,0.02,41.61,36.78,63676.64,14,18,4,27,107,'0'
6,6,3,0.03,29.62,27.41,24040,0,4,0,17,53,'0'
6,6,3,0.03,29.62,26.71,23427.52,0,4,0,17,53,'0'
6,6,4,0.04,23.5,31.44,17360.57,10,9,0,21,47,'0'
2,1,2,0.1,10.13,19.38,1986.51,0,3,0,8,18,'0'
2,1,2,0.1,10.13,19.38,1986.51,0,3,0,8,18,'0'
2,1,2,0.1,10.13,19.38,1986.51,0,3,0,8,18,'0'
5,1,5,0.07,14.67,62.7,13500,4,4,0,23,75,'0'
1,1,1,0.67,1.5,7.74,17.41,0,0,0,2,2,'0'
7,4,4,0.03,35.84,41.23,52962.57,17,15,1,31,101,'0'
4,4,2,0.06,15.58,20.57,4996.43,0,4,0,12,22,'0'
8,4,1,0,0,0,0,0,0,0,0,0,'0'
3,1,3,0.09,11.54,65.86,8772.02,0,5,0,37,61,'0'
3,3,2,0.13,7.92,57.81,3626.34,3,4,0,25,44,'0'
2,1,2,0.11,9.43,29.55,2627.1,0,2,0,14,24,'0'
2,1,2,0.17,5.79,31.27,1046.88,4,4,0,14,18,'0'
3,1,3,0.13,7.53,37.81,2141.99,1,4,0,19,26,'0'
5,1,5,0.06,15.6,65.89,16035.27,3,10,1,40,78,'0'
5,1,5,0.08,13.09,55.76,9555.22,4,7,1,33,54,'0'
2,1,2,0.19,5.18,43.96,1177.9,2,1,0,17,22,'0'
2,1,2,0.21,4.76,38.47,873.45,2,3,0,17,18,'0'
2,1,2,0.18,5.63,26.55,840.03,0,2,0,12,15,'0'
2,1,2,0.18,5.63,26.55,840.03,0,2,0,12,15,'0'
2,1,2,0.13,7.97,39.14,2489.11,2,4,0,20,29,'0'
2,1,2,0.21,4.86,49.68,1173.86,0,3,0,18,25,'0'
2,1,2,0.28,3.6,13.45,174.36,0,0,0,5,6,'0'
5,1,5,0.05,20.31,87.8,36226.46,27,4,0,64,130,'0'
7,3,7,0.09,10.64,80.94,9161.95,23,5,0,43,61,'0'
1,1,1,0,0,0,0,0,0,0,0,0,'0'
1,1,1,0.4,2.5,15.95,99.66,0,1,0,5,5,'0'
1,1,1,0.4,2.5,15.95,99.66,0,1,0,5,5,'0'
1,1,1,0,0,0,0,0,0,0,0,0,'0'
1,1,1,0.47,2.13,73.22,330.63,3,3,0,16,17,'0'
1,1,1,0.47,2.13,73.22,330.63,3,3,0,16,17,'0'
1,1,1,0,0,0,0,0,0,0,0,0,'0'
1,1,1,0.47,2.12,78.82,353.45,3,3,0,17,18,'0'
1,1,1,0.47,2.12,78.82,353.45,3,3,0,17,18,'0'
4,1,4,0.1,10.2,39.22,4080,0,4,0,20,34,'0'
2,1,2,0.25,3.97,39.35,619.12,0,2,0,15,17,'0'
4,1,4,0.06,17,63.3,18294.79,0,5,0,37,74,'0'
4,1,4,0.06,15.97,56.19,14330.78,0,5,0,33,62,'0'
3,1,3,0.06,17.16,71.18,20968.33,0,7,0,43,82,'0'
3,1,3,0.13,7.53,37.81,2141.99,1,4,0,19,26,'0'
2,1,2,0.15,6.5,15.44,652.46,0,1,0,6,13,'0'
2,1,2,0.21,4.86,49.68,1173.86,0,3,0,18,25,'0'
